Wins,Name,Code,School
5,Waghray & Wilson,Emory WW,Emory
5,Palmieri & Virk,George Mason PV,George Mason
5,Le & Cryan,Houston LC,Houston
4,Abdelhakiem & Albright,Missouri State AA,Missouri State
4,Perkins & Santiago,Navy SP,Navy
4,Axtman & Goyal,Miami AG,Miami
3,Wiessner & Garcia,Cal State Fulle WG,Cal State Fullerton
3,Dellinger & Megill,Liberty DM,Liberty
3,Posey & Smith,Liberty PS,Liberty
3,Crisan & Manian,Purdue CM,Purdue
2,Buonaspina & Jambunathan,George Mason BJ,George Mason
2,Kamal & Van Zant,Michigan State KV,Michigan State
2,Francisquini & Walker,Monmouth FW,Monmouth
2,Kostecke & Trestrail,Wayne State KT,Wayne State
1,Castro & Santos,Monmouth CS,Monmouth
