Wins,Name,Code,School
5,Cartwright & Kim,Binghamton CK,Binghamton
5,Brown & Jambunathan,George Mason BJ,George Mason
5,Iwanoff & Richardson,Liberty IR,Liberty
4,Keiser & Panos,Binghamton KP,Binghamton
4,Brawley & Butler,Cornell BB,Cornell
4,Dickerson & Dong,Cornell DD,Cornell
4,Dressel & Fuchs,Jay Fuchs,George Mason
4,Marcucci & McKim,James Madison MM,James Madison
4,Ortiz & Pelletier,James Madison OP,James Madison
4,Horne & McIntosh,Liberty HM,Liberty
4,Khanna & Hirsch,Rochester KH,Rochester
3,Forstrum & Wang,Cornell FW,Cornell
3,Al Ani & Gooden,George Mason AG,George Mason
3,Kozel & Nguyen,Oakton Community/Liberty KN,Oakton Community
3,Koponen & Hanzel,Purdue KH,Purdue
3,Shatilensko & Duerig,United States Military SD,United States Military
2,Brokalis & Savrides,Binghamton BS,Binghamton
2,ezor & Weisburd,Binghamton EW,Binghamton
2,Levy & Dryer,Binghamton LD,Binghamton
2,Alshuhayeb & Zayid,George Mason AZ,George Mason
2,Bahamonde & Magpiong,George Mason BM,George Mason
2,Bhurtel & Yalch,George Mason BY,George Mason
0,Emery & Tatum,George Mason ET,George Mason
