Wins,Name,Code,School
5,Bald & Chang-Deutsch,Dartmouth BC,Dartmouth
5,Greer & Lawless,Georgetown GL,Georgetown
5,Deo & Fridman,Northwestern DF,Northwestern
5,Di & Griffith,David Griffith,Kentucky
5,Kuffour & Sun,Southern California KS,Southern California
4,Glancy & Koster,Michigan State GK,Michigan State
4,Ramesh & El-Sharif,Northeastern/Pennsylvania RE,Northeastern
4,Landgraff & Wegener,Northwestern LW,Northwestern
4,Nelson & Moore,Trinity NM,Trinity
4,Eusterman & Eusterman,UC Berkeley EE,UC Berkeley
4,Harrington & McGraw,Michigan HM,Michigan
4,margolin & Muse,Michigan MM,Michigan
4,Bathily & Trotman,Wake Forest BT,Wake Forest
3,Moodley & Sandhu,Emory MS,Emory
3,Piekut & Roytburg,Emory PR,Emory
3,Gilmer-Hill & Mukherjee,Harvard/Amherst GM,Harvard
3,Meloche & Miklovis,Tony Miklovis,Michigan State
3,Davis & Parrish,Minnesota DP,Minnesota
3,Phoenix-Flood & Rao,Minnesota PR,Minnesota
3,Adam & Kiihnl,Jared Adam,Kentucky
3,Phil & Skoulikaris,Michigan PS,Michigan
3,Northcutt-Wyly & Hayden,Southern California NH,Southern California
3,Lassen & Radcliffe,Wyoming LR,Wyoming
2,Hudson & Laibe,Baylor HL,Baylor
2,White & Carrasco,Cal State Fullerton WC,Cal State Fullerton
2,Johnson & Sun,Minnesota JS,Minnesota
2,Anderson McElligott & Prost,Spencer Anderson McElligott,Minnesota
2,Agbede & De Leon,Northwestern AD,Northwestern
2,Weinhardt & Stockstill,Kentucky WS,Kentucky
2,Campbell & Mitchell,Wyoming CM,Wyoming
1,Spond & Turner,Kansas State ST,Kansas State
1,Toro & Karsh,Oakton Community/Macalester TK,Oakton Community
1,Davis & Tubach,UC Berkeley DT,UC Berkeley
1,Phelps & Stephens,Weber State PS,Weber State
