Wins,Name,Code,School
6,Deo & Fridman,Northwestern DF,Northwestern
6,Pierry & Rabbini,Michigan PR,Michigan
5,Shankar & Vergho,Dartmouth SV,Dartmouth
5,Giampetruzzi & Kessler,Emory GK,Emory
5,Aoki & Farronay,Harvard AF,Harvard
5,Barton & Habermann,Harvard BH,Harvard
5,Cavanaugh & Namakula,Iowa CN ONLINE,Iowa
5,McMahon & Scott,Kansas MS,Kansas
5,margolin & Muse,Michigan MM,Michigan
5,Kuffour & Sun,Southern California KS,Southern California
4,Carrasco & White,Cal State Fullerton CW ONLINE,Cal State Fullerton
4,Bald & Chang-Deutsch,Dartmouth BC,Dartmouth
4,Hecht & Mitchell,Emory HM,Emory
4,Moodley & Sandhu,Emory MS,Emory
4,Pak & Rajagopal,Emory PaRa,Emory
4,Buckner & Graham,George Mason BG,George Mason
4,Anderson & Greer,Georgetown AG,Georgetown
4,Ogbogu & Yeboah,Harvard OY,Harvard
4,Bennett & Glancy,Michigan State BG ONLINE,Michigan State
4,Phoenix-Flood & Rao,Minnesota PR,Minnesota
4,Desai & Kashyap,Texas DK,Texas
4,Eusterman & Eusterman,UC Berkeley EE,UC Berkeley
4,Barreto & Snow,Kansas BS,Kansas
4,Di & Griffith,David Griffith,Kentucky
4,Phil & Skoulikaris,Michigan PS,Michigan
4,Northcutt-Wyly & Hayden,Southern California NH,Southern California
3,Cai & Lin,Dartmouth CL,Dartmouth
3,Piekut & Roytburg,Emory PR,Emory
3,Armstrong & Loew,Nick Loew,George Mason
3,Lawless & Spurlock,Georgetown LS,Georgetown
3,Wang & White,Georgetown WW,Georgetown
3,Martin & Renee,Gonzaga MR ONLINE,Gonzaga
3,Spond & Turner,Kansas State ST,Kansas State
3,Cazeau & Robinson,Liberty CR ONLINE,Liberty
3,Ramsey & Wallenmeyer,Liberty RW,Liberty
3,Meloche & Miklovis,Tony Miklovis,Michigan State
3,Frese & Parrish,Minnesota FP,Minnesota
3,Johnson & Sun,Minnesota JS,Minnesota
3,Anderson McElligott & Boorsma Bergerud,Spencer Anderson McElligott,Minnesota
3,Agbede & Stamenkovic Diez,Northwestern AS,Northwestern
3,Landgraff & Wegener,Northwestern LW,Northwestern
3,Fox & Lea,Houston FL ONLINE,Houston
3,Bennett & Chen,Iowa/Grinnell BC ONLINE,Iowa
3,Ottinger & Rahaman,Kansas OR,Kansas
3,Peter & Revare,Kansas PR,Kansas
3,Semrick & Park,Kansas SP,Kansas
3,Wilkus & Harris,Kansas WH,Kansas
3,Adam & Kiihnl,Jared Adam,Kentucky
3,Barrett & Dal Pra,Kentucky BD ONLINE,Kentucky
3,McBlain & Williams,Kentucky MW ONLINE,Kentucky
3,Harrington & McGraw,Michigan HM,Michigan
3,Hormozdiari & Sposito,Michigan SH,Michigan
3,Mendoza & Osei,Pittsburgh MO ONLINE,Pittsburgh
3,Reznik & Shah,Pittsburgh RS ONLINE,Pittsburgh
3,Roark & Smith,Wake Forest RS ONLINE,Wake Forest
2,Poe & Rice,Emory PoRi,Emory
2,Pierce & Shafiro,Emory PS,Emory
2,Gilmer-Hill & Mukherjee,Harvard/Amherst GM,Harvard
2,Wittstock & Solsman,Liberty WS,Liberty
2,Cade & Lucas,Missouri State CL,Missouri State
2,De Leon & Park,Northwestern DP,Northwestern
2,Ogundare & St.Clair,Temitope Ogundare,Rutgers-Newark
2,Healey & Noriega,Texas HN,Texas
2,Mubarak & Beutelspacher,UTD MB,UTD
2,Weinhardt & Stockstill,Kentucky SW ONLINE,Kentucky
2,Agrawal & Mikelson,Michigan AM,Michigan
2,Campbell & Mitchell,Wyoming CM ONLINE,Wyoming
2,Lassen & Radcliffe,Wyoming LR ONLINE,Wyoming
2,Shaw & StPeter,Western Washington SS ONLINE,Western Washington
1,Gonzalez & Gutierrez,Dartmouth GG,Dartmouth
1,Laurent & Vazquez Torres,Dartmouth LV,Dartmouth
1,Hazelbrook & Navarrete,Emory HN,Emory
1,Amundsen & Prost,Minnesota AP,Minnesota
1,Wilkinson & Woodall,Missouri State WW,Missouri State
1,Butler & Lima Boudakian,Kat Butler,New School
1,Ramesh & El-Sharif,Northeastern/Pennsylvania RE,Northeastern
1,Manjila & Adams,Pittsburgh MA ONLINE,Pittsburgh
1,King & Haindfield,Lyd Haindfield,Western Washington
0,Rosas & Loayza,Cal State Fullerton RL ONLINE,Cal State Fullerton
