Wins,Name,Code,School
5,Brown & Conway,James Madison BC,James Madison
5,Le & Cryan,Houston LC,Houston
4,Davis & Munson,Teddy Munson,Minnesota
4,Le & Kidd,Houston LK,Houston
4,Khan & Hoxha,Spiro Hoxha,Houston
3,Dulas & Posey,Liberty DP,Liberty
3,Hamilton & Smith,Liberty HS,Liberty
3,Karsh & Toro,Macalester/Oakton Community KT,Macalester
3,Ciacciarelli & Fernando,NYU CF,NYU
3,Howard & Kostecke,Wayne State HK,Wayne State
2,Sullivan & Waheed,Oklahoma SW,Oklahoma
1,Dellinger & Megill,Liberty DM,Liberty
1,Auquilla & Mittur,NYU AM,NYU
1,Teague & Bell,Oklahoma TB,Oklahoma
