Wins,Name,Code,School
6,Berry & Horne,Liberty BH,Liberty
5,Ortiz & Pelletier,James Madison OP,James Madison
4,Al Ani & Fuchs,Jay Fuchs,George Mason
4,Dim & Wright,James Madison DW,James Madison
4,Harlow & Rinehart,James Madison HR,James Madison
4,Kaase & Oquendo,New School KO,New School
4,Goodrich & Nguyen,Houston GN,Houston
4,Mann & Anderson,West Virginia MA,West Virginia
3,Alshuhayeb & Buonaspina,George Mason AB,George Mason
3,Emery & Tatum,George Mason ET,George Mason
3,Balda & Mishra,James Madison BM,James Madison
3,Aurora & Jin,NYU AJ,NYU
3,Ku & Li,NYU KL,NYU
3,Fugate & Thomas,UT San Antonio FT,UT San Antonio
3,Khan & Rehman,Houston KR,Houston
3,Fries & Abad,Nine Abad,Houston
2,Butler & Dickerson,Cornell BD,Cornell
2,Bhurtel & Yalch,George Mason BY,George Mason
2,McIntosh & Nguyen,Liberty MN,Liberty
2,Barajas & McKim,St Mary's College SMC/James Madison BM,St Mary's College SMC
2,Lopez & Padmasolala,Houston LP,Houston
2,Ortuno & Le,Houston OL,Houston
1,Fetter & Ferrell,West Virginia FF,West Virginia
