Wins,Name,Code,School
6,Dawson & Zabolio,Gonzaga DZ,Gonzaga
5,Le & Le,Houston LL,Houston
4,Breneman-Pennas & Palmieri,George Mason BP,George Mason
4,Toro & Karsh,Oakton Community/Macalester TK,Oakton Community
4,Smith & Meskouri,Central Oklahoma/Michigan SM,Central Oklahoma
4,Hoxha & Khan,Spiro Hoxha,Houston
3,Moreno & Morioka,Gonzaga MM,Gonzaga
3,Hoham & Fish,Indiana HF,Indiana
3,Kamal & Van Zant,Michigan State KV,Michigan State
3,Lewis & Petersen,Meg Petersen,Missouri State
3,Cole & Pierson,Wyoming CP,Wyoming
2,Leach & Waghray,Emory LW,Emory
2,Ortega & Lopez,Southern California OL,Southern California
1,Bost & Perez,Oklahoma BP,Oklahoma
1,Kostecke & Trestrail,Wayne State KT,Wayne State
0,Kennedy & Chamberlain,Texas Tech CK,Texas Tech
