Wins,Name,Code,School
6,Pierry & Rabbini,Michigan PR,Michigan
6,Osei & Mendoza,Pittsburgh OM,Pittsburgh
5,Carrasco & White,Cal State Fullerton CW,Cal State Fullerton
5,Chang-Deutsch & Shankar,Dartmouth CS,Dartmouth
5,Giampetruzzi & Kessler,Emory GK,Emory
5,Hecht & Mitchell,Emory HM,Emory
5,Aoki & Farronay,Harvard AF,Harvard
5,Cazeau & Robinson,Liberty CR,Liberty
5,Desai & Kashyap,Texas DK,Texas
5,Harrington & McGraw,Michigan HM,Michigan
5,Bathily & Puerto,Wake Forest BP,Wake Forest
4,Pak & Rajagopal,Emory PR,Emory
4,Buckner & Graham,George Mason BG,George Mason
4,Wang & White,Georgetown WW,Georgetown
4,Martin & Renee,Gonzaga MR,Gonzaga
4,Babcock & Babcock,Johnson County Community BB,Johnson County Community
4,Glancy & Koster,Michigan State GK,Michigan State
4,Meloche & Miklovis,Tony Miklovis,Michigan State
4,Parrish & Sun,Minnesota PS,Minnesota
4,Emerson & Gates,Samford EG,Samford
4,Nelson & Moore,Trinity NM,Trinity
4,Eusterman & Eusterman,UC Berkeley EE,UC Berkeley
4,Cavanaugh & Namakula,Iowa CN,Iowa
4,Harris & Spiers,Kansas HS,Kansas
4,Mansoor & Soper,Kansas MaSo,Kansas
4,Rahaman & Ottinger,Kansas RO,Kansas
4,McBlain & Williams,Kentucky MW,Kentucky
4,Reznik & Shah,Pittsburgh RS,Pittsburgh
4,Bittner & Bressler,Wake Forest BB,Wake Forest
4,Bathily & Trotman,Wake Forest BT,Wake Forest
4,Dua & Luckett,Wake Forest DL,Wake Forest
4,Davidson & Torguson,Wake Forest DT,Wake Forest
3,Ahuja & Suben,Sira Ahuja,Binghamton
3,Bedi & Wallen,Emory BW,Emory
3,Piekut & Roytburg,Emory PiRo,Emory
3,Imbimbo & Joari,George Mason IJ,George Mason
3,Armstrong & Loew,Nick Loew,George Mason
3,Anderson & Greer,Georgetown AG,Georgetown
3,Lawless & Spurlock,Georgetown LS,Georgetown
3,Martinez & Medeiros,Georgetown MM,Georgetown
3,Bennett & Scott,Michigan State BS,Michigan State
3,Cade & Reeves,Missouri State CR,Missouri State
3,Grace & Lucas,Missouri State GL,Missouri State
3,Kauffman & Waggoner,Missouri State KW,Missouri State
3,Beutelspacher & Mubarak,UTD BM,UTD
3,Huffman & Wendland,Central Oklahoma HW,Central Oklahoma
3,Cryan & Lea,Houston CL,Houston
3,Putney & Sanders,Maeve Ella,Iowa
3,Barreto & Snow,Kansas BS,Kansas
3,Park & Semrick,Kansas PS,Kansas
3,Adam & Kiihnl,Jared Adam,Kentucky
3,margolin & Muse,Michigan MM,Michigan
3,Phil & Skoulikaris,Michigan PS,Michigan
3,lassen & Radcliffe,Wyoming LR,Wyoming
3,Kruger & Taylor,Wake Forest KT,Wake Forest
3,Roark & Smith,Wake Forest RS,Wake Forest
3,Reza Husain & Reynolds,Wayne State RR,Wayne State
3,Clough & Forsyth,astrid clough,West Georgia
3,Hinecker & Phillips,Wichita State HP,Wichita State
2,McClinton & Nguyen,Baylor MN,Baylor
2,Gonzalez & Gutierrez,Dartmouth GG,Dartmouth
2,Gilmer-Hill & Mukherjee,Harvard/UMass Amherst GM,Harvard
2,Solsman & Wagner,Liberty SW,Liberty
2,Amundsen & Prost,Minnesota AP,Minnesota
2,Rock & Korlacki,Navy RK,Navy
2,Landgraff & Wegener,Northwestern LW,Northwestern
2,Karchmer & Sendejas,UTD KS,UTD
2,Watson & Lasseter,UTD WL,UTD
2,Mruz & Wakefield,Georgia MW,Georgia
2,Bennett & Chen,Iowa/Grinnell BC,Iowa
2,Mikelson & Sposito,Michigan SM,Michigan
2,Campbell & Mitchell,Wyoming CM,Wyoming
2,Graham & Lever,Wyoming GL,Wyoming
2,Shaw & StPeter,Western Washington SS,Western Washington
2,Chavez & Hummingbird,Miguel Molina Chavez,Wichita State
1,Geller & Li,Cornell GL,Cornell
1,Spond & Turner,Kansas State ST,Kansas State
1,Wittstock & Kidd,Liberty/Houston WK,Liberty
1,Wilkinson & Woodall,Missouri State WW,Missouri State
1,De Leon & Park,Northwestern DP,Northwestern
1,Premanand & Sumita,Purdue PS,Purdue
1,Healey & Noriega,Texas HN,Texas
1,Reese & Christiansen,Southern California RC,Southern California
1,Haindfield & King,Lyd Haindfield,Western Washington
0,Rosas & Loayza,Cal State Fullerton RL,Cal State Fullerton
0,Lee & Woodcock,Kansas LW,Kansas
