Wins,Name,Code,School
6,Ortiz & Pelletier,James Madison OP,James Madison
5,Fuchs & Al Ani,Jay Fuchs,George Mason
5,Duerig & Shatilensko,United States Military DS,United States Military
4,Bahamonde & Magpiong,George Mason BM - ONLINE,George Mason
4,Clement & Rinehart,James Madison CR,James Madison
4,Harlow & Zarazinski,James Madison ZH,James Madison
4,Berry & Thompson,Liberty BT,Liberty
4,Horne & McIntosh,Liberty HM,Liberty
4,Jones & Rona,Navy/Miami JR - ONLINE,Navy
3,McNabb & Wachsmuth,Boston College MW - ONLINE,Boston College
3,Alshuhayeb & Sejiny,George Mason AS - ONLINE,George Mason
3,Bhurtel & Yalch,George Mason BY - ONLINE,George Mason
3,Emery & Tatum,George Mason ET - ONLINE,George Mason
3,Balda & McKim,James Madison BM,James Madison
3,Martin & Perkins,Navy MP - ONLINE,Navy
3,Ku & Li,NYU KL - ONLINE,NYU
3,Collins & Sejiny,United States Military/George Mason CS,United States Military
2,Liu & Ridenhour,Binghamton LR - ONLINE,Binghamton
2,Dim & Mishra,James Madison DM,James Madison
2,Agarwal & Basu-Mallick,Navy AB - ONLINE,Navy
2,Hanzel & Patel,Purdue HP - ONLINE,Purdue
2,Cival & Hamberger,Rutgers-Newark/Binghamton CH - ONLINE,Rutgers-Newark
1,Godoy & Shin,Boston College GS - ONLINE,Boston College
1,McCabe & Nguyen,United States Military/Liberty MN,United States Military
1,Chen & Creary,Miami CC - ONLINE,Miami
