Wins,Name,Code,School
6,Park & Semrick,Kansas PS,Kansas
5,Marin & Santora,Binghamton MS,Binghamton
5,Anderson McElligott & Kivimaki,Spencer Anderson McElligott,Minnesota
5,Shah & Reznik,Pittsburgh SR,Pittsburgh
4,Johnson & Sun,Minnesota Johnson & Sun,Minnesota
4,Emerson & Tarnowski,Samford ET,Samford
4,Wilkus & Harris,Kansas WH,Kansas
3,Picallo & T. Louis,Eli T. Louis,Binghamton
3,Amundsen & Frese,Minnesota Amundsen & Frese,Minnesota
3,Senapati & Sumita,Purdue SS,Purdue
3,Mruz & Vale,Georgia MV,Georgia
3,Cavanaugh & Namakula,Iowa CN,Iowa
3,Bennett & Chen,Iowa/Grinnell BC,Iowa
3,Putney & Sanders,Maeve Ella,Iowa
2,Carter & Cheek,Boston College CC,Boston College
2,Korlacki & Rock,Navy KR,Navy
2,Gill & Riggs,Samford GR,Samford
1,Zabolio & Dawson,Gonzaga ZD,Gonzaga
1,King & Haindfield,Lyd Haindfield,Western Washington
