Wins,Name,Code,School
5,Alshuhayeb & Chung,George Mason AC,George Mason
5,Bhurtel & Yalch,George Mason BY,George Mason
5,Floyd & Kierzyk,Indiana FK,Indiana
5,Duerig & Shatilensko,United States Military DS,United States Military
4,Al Ani & Fuchs,Jay Fuchs,George Mason
4,Vidali & Weisbach,Indiana VW,Indiana
3,Berry & Horne,Liberty BH,Liberty
2,Agarwal & Basu-Mallick,Navy AB,Navy
2,Fiscus & Kim,Navy FK,Navy
1,Gaarder & Huang,Minnesota GH,Minnesota
1,Barnes & Collins,United States Military BC,United States Military
