Wins,Name,Code,School
5,Piekut & Roytburg,Emory PR,Emory
5,Martin & Renee,Gonzaga MR,Gonzaga
5,Ramesh & El-Sharif,Northeastern/Pennslyvania RE,Northeastern
5,Harrington & McGraw,Michigan HM,Michigan
5,Phil & Skoulikaris,Michigan PS,Michigan
5,Dua & Luckett,Wake Forest DL,Wake Forest
4,Greer & Lawless,Georgetown GL,Georgetown
4,Lucas & Reeves,Missouri State LR,Missouri State
4,Landgraff & Wegener,Northwestern LW,Northwestern
4,Alexis & Datel,Washington U/Columbia AD,Washington University in St. Louis
3,Santora & Marin,Binghamton SM,Binghamton
3,Wang & White,Georgetown WW,Georgetown
3,Solsman & Wagner,Liberty SW,Liberty
3,Johnson & Sun,Minnesota JS,Minnesota
3,Kauffman & Cade,Missouri State KC,Missouri State
3,Korlacki & Rock,Navy KR,Navy
3,Dover & Hudgins,Mary Washington DH,Mary Washington
3,Quick & Wallenburg,Nebraska-Lincoln QW,Nebraska-Lincoln
3,Campbell & Mitchell,Wyoming CM,Wyoming
3,Cole & Powers,Wyoming CP,Wyoming
2,Peake & Lowry,George Mason PL,George Mason
2,Virk & Palmieri,George Mason VP,George Mason
2,Dawson & Zabolio,Gonzaga DZ,Gonzaga
2,Morioka & Moreno,Gonzaga MM,Gonzaga
2,Jasani & Logan,Indiana JL,Indiana
2,Oluwayomi & Holland,Indiana OH,Indiana
2,Prost & Spencer,Minnesota/Arizona State PS,Minnesota
2,Amundsen & Munson,Teddy Munson,Minnesota
2,Lassen & swidecki,Wyoming LS,Wyoming
2,Bressler & Sayoto,Wake Forest BS,Wake Forest
0,Waghray & Kumar,Emory/Georgetown WK,Emory
0,Fish & Hoham,Indiana FH,Indiana
0,Sanders & Putney,Maeve Ella,Iowa
