Wins,Name,Code,School
6,Agrawal & Hsu,Michigan AH,Michigan
5,Joyce & Posey,Liberty JP,Liberty
5,Chavez & Hummingbird,Miguel Molina Chavez,Wichita State
4,Moreno & Morioka,Gonzaga MM,Gonzaga
4,Lewis & Petersen,Meg Petersen,Missouri State
4,Delhagen & Wilson,Trinity DW,Trinity
4,Le & Le,Houston LL,Houston
3,Dawson & Zabolio,Gonzaga DZ,Gonzaga
3,Dellinger & Megill,Liberty DM,Liberty
3,Dulas & Smith,Liberty DS,Liberty
3,Jackson & Riggs,Samford JR,Samford
3,Hudgins & Rucker,Mary Washington HR,Mary Washington
3,Kostecke & Trestrail,Wayne State KT,Wayne State
2,Jasani & Logan,Indiana JL,Indiana
2,Hamilton & Major,Liberty HM,Liberty
2,Breen & Korlacki,Navy BK,Navy
2,Barkocy & Rose,Trinity BR,Trinity
2,Haque & Garrett,Houston GH,Houston
2,Vo & Lopez-Herrera,Houston VL,Houston
2,Khan & Hoxha,Spiro Hoxha,Houston
0,Waghray & Hilaire,Emory WH,Emory
