Wins,Name,Code,School
6,Aoki & Farronay,Harvard AF,Harvard
6,Barton & Habermann,Harvard BH,Harvard
6,Butler & Revare,Kansas BR,Kansas
6,Pierry & Rabbini,Michigan PR,Michigan
5,Bald & Chang-Deutsch,Dartmouth BC,Dartmouth
5,Shankar & Vergho,Dartmouth SV,Dartmouth
5,Hecht & Mitchell,Emory HM,Emory
5,Cazeau & Robinson,Liberty CR,Liberty
5,Deo & Fridman,Northwestern DF,Northwestern
5,McMahon & Scott,Kansas MS,Kansas
5,Di & Griffith,David Griffith,Kentucky
5,Sun & Kuffour,Southern California SK,Southern California
4,Giampetruzzi & Kessler,Emory GK,Emory
4,Pak & Rajagopal,Emory PR,Emory
4,Armstrong & Loew,Nick Loew,George Mason
4,Lawless & Martinez,Georgetown LM,Georgetown
4,Medeiros & Wang,Georgetown MW,Georgetown
4,Ahmad & Hiremath,Harvard AH,Harvard
4,Ogbogu & Yeboah,Harvard OY,Harvard
4,Babcock & Babcock,Johnson County Community BB,Johnson County Community
4,Ramsey & Wallenmeyer,Liberty RW,Liberty
4,Glancy & Koster,Michigan State GK,Michigan State
4,Phoenix-Flood & Rao,Minnesota PR,Minnesota
4,Emerson & Gates,Samford EG,Samford
4,Desai & Kashyap,Texas DK,Texas
4,Nelson & Moore,Trinity NM,Trinity
4,Eusterman & Eusterman,UC Berkeley EE,UC Berkeley
4,Mansoor & Soper,Kansas MaSo,Kansas
4,Barrett & Dal Pra,Kentucky BD,Kentucky
4,McBlain & Williams,Kentucky MW,Kentucky
4,Dombcik & Hormozdiari,Michigan DH,Michigan
4,Harrington & McGraw,Michigan HM,Michigan
4,margolin & Muse,Michigan MM,Michigan
4,Phil & Skoulikaris,Michigan PS,Michigan
4,Davidson & Torguson,Wake Forest DT,Wake Forest
4,Kruger & Taylor,Wake Forest KT,Wake Forest
3,Thrasher-Evers & Wyatt,Baylor TW,Baylor
3,White & Carrasco,Cal State Fullerton WC,Cal State Fullerton
3,Cai & Sullivan,Dartmouth CS,Dartmouth
3,He & Mancini,Dartmouth HM,Dartmouth
3,Moodley & Sandhu,Emory MS,Emory
3,Pierce & Shafiro,Emory PS,Emory
3,Buckner & Graham,George Mason BG,George Mason
3,Anderson & Greer,Georgetown AG,Georgetown
3,Spurlock & White,Georgetown SW,Georgetown
3,Martin & Renee,Gonzaga MR,Gonzaga
3,Solsman & Wagner,Liberty SW,Liberty
3,Bennett & Scott,Michigan State BS,Michigan State
3,Meloche & Miklovis,Tony Miklovis,Michigan State
3,Landgraff & Wegener,Northwestern LW,Northwestern
3,Stinson & Weiss,Tufts SW,Tufts
3,Beutelspacher & Mubarak,UTD BM,UTD
3,Cavanaugh & Namakula,Iowa CN,Iowa
3,Bennett & Chen,Iowa/Grinnell BC,Iowa
3,Harris & Wilkus,Kansas HW,Kansas
3,Park & Semrick,Kansas PS,Kansas
3,Spiers & Snow,Kansas SS,Kansas
3,Adam & Kiihnl,Jared Adam,Kentucky
3,Ramesh & El-Sharif,Pennsylvania RE,Pennsylvania
3,Osei & Mendoza,Pittsburgh OM,Pittsburgh
3,Bittner & Bressler,Wake Forest BB,Wake Forest
3,Bathily & Puerto,Wake Forest BP,Wake Forest
3,Majeed & Sayoto,Wake Forest MS,Wake Forest
3,Alexis & Datel,Washington University in St. Louis/Columbia AD,Washington University in St. Louis
3,Clough & Forsyth,astrid clough,West Georgia
3,Phillips & Benson,Wichita State BP,Wichita State
2,Marin & Santora,Binghamton MS,Binghamton
2,Lin & Wang,Dartmouth LW,Dartmouth
2,Bedi & Wallen,Emory BW,Emory
2,Navarrete & Palmer,Emory NP,Emory
2,Poe & Rice,Emory PoRi,Emory
2,Gavsie & Ntangu,Georgetown GN,Georgetown
2,Cawston & Wittstock,Liberty CW,Liberty
2,Frese & Parrish,Minnesota FP,Minnesota
2,Johnson & Sun,Minnesota JS,Minnesota
2,Wilkinson & Woodall,Missouri State WW,Missouri State
2,Agbede & Stamenkovic Diez,Northwestern AS,Northwestern
2,De Leon & Park,Northwestern DP,Northwestern
2,Gill & Tarnowski,Samford GT,Samford
2,Healey & Noriega,Texas HN,Texas
2,Watson & Lasseter,UTD WL,UTD
2,Menon & Mruz,Georgia MM,Georgia
2,Flaherty & Stockstill,Kentucky FS,Kentucky
2,Dover & Remish,Mary Washington DR,Mary Washington
2,Kuo & Sposito,Michigan KS,Michigan
2,Adams & Manjila,Pittsburgh AM,Pittsburgh
2,Allison & Winchell,Southern California AW,Southern California
2,Hayden & Northcutt-Wyly,Southern California HN,Southern California
2,lassen & Radcliffe,Wyoming LR,Wyoming
2,Howard & Reza Husain,Wayne State HR,Wayne State
1,Ryals & Meza,Cal State Fullerton RM,Cal State Fullerton
1,Hazelbrook & Leutzinger,Emory HL,Emory
1,Dean & Gines,Harvard DG,Harvard
1,Gilmer-Hill & Mukherjee,"Harvard/Massachusetts, Amherst (Policy Debate) GM",Harvard
1,Amundsen & Prost,Minnesota AP,Minnesota
1,Fernando & Pierce,NYU FP,NYU
1,Putney & Sanders,Maeve Ella,Iowa
1,Flashner & Mikelson,Michigan FM,Michigan
1,Powers & swidecki,Wyoming PS,Wyoming
1,Haindfield & King,Lyd Haindfield,Western Washington
0,Laurent & Vazquez Torres,Dartmouth LV,Dartmouth
0,Ottinger & Rahaman,Kansas OR,Kansas
