Wins,Name,Code,School
5,Barajas & Papageorge,St Mary's College SMC BP,St Mary's College SMC
4,Berry & Horne,Liberty BH,Liberty
3,Balda & Pelletier,James Madison BP,James Madison
3,Mishra & Rinehart,James Madison MR,James Madison
3,Ortiz & Dim,James Madison OD,James Madison
3,Duerig & Shatilensko,United States Military DS,United States Military
2,Harlow & Hennessy,James Madison HH,James Madison
2,McKim & Wright,James Madison MW,James Madison
0,Fleming & Silvernale,St Mary's College SMC FS,St Mary's College SMC
0,Mena & Heideveld,St Mary's College SMC MH,St Mary's College SMC
