Wins,Name,Code,School
5,Brown & Conway,James Madison Brown & Conway,James Madison
5,Dellinger & Megill,Liberty Dellinger & Megill,Liberty
5,Dulas & Posey,Liberty Dulas & Posey,Liberty
5,Goodrich & Nguyen,Houston Goodrich & Nguyen,Houston
4,Palmieri & Virk,George Mason Palmieri & Virk,George Mason
4,Hamilton & Smith,Liberty Hamilton & Smith,Liberty
4,Perkins & Anderson,Navy/Texas Perkins & Anderson,Navy
3,Wilson & Waghray,Emory Wilson & Waghray,Emory
3,Buonaspina & Rizzoli,George Mason Buonaspina & Rizzoli,George Mason
3,Liu & StPeter,Georgia State Liu & StPeter,Georgia State
3,Munson & Blackwell,Teddy Munson,Minnesota
3,Trestrail & Kostecke,Wayne State Trestrail & Kostecke,Wayne State
2,Kamal & Van Zant,Michigan State Kamal & Van Zant,Michigan State
2,Chaturvedi & Montaudy,New School Chaturvedi & Montaudy,New School
2,Cook & Chamberlain,Texas Tech Cook & Chamberlain,Texas Tech
1,Auquilla & Wu,NYU Auquilla & Wu,NYU
1,Ciacciarelli & Teng,NYU Ciacciarelli & Teng,NYU
0,Santiago & Jones,Navy Jones & Santiago,Navy
