Wins,Name,Code,School
6,Ortiz & Pelletier,James Madison Ortiz & Pelletier,James Madison
5,Bhurtel & Yalch,George Mason Bhurtel & Yalch,George Mason
5,Berry & Horne,Liberty Berry & Horne,Liberty
4,McNabb & Wachsmuth,Boston College McNabb & Wachsmuth,Boston College
4,Butler & Dickerson,Cornell Butler & Dickerson,Cornell
4,Emery & Tatum,George Mason Emery & Tatum,George Mason
4,Chatpunnarangsee & Vidali,Indiana Chatpunnarangsee & Vidali,Indiana
4,Floyd & Kierzyk,Indiana Floyd & Kierzyk,Indiana
4,Ku & Li,NYU Ku & Li,NYU
4,Rehman & Kaase,Houston/New School Rehman & Kaase,Houston
3,Al Ani & Fuchs,Jay Fuchs,George Mason
3,Balda & Mishra,James Madison Balda & Mishra,James Madison
3,Wright & Lujan,James Madison/Texas Tech Wright & Lujan,James Madison
3,Agarwal & Basu-Mallick,Navy Agarwal & Basu-Mallick,Navy
3,Haque & Garrett,Houston Haque & Garrett,Houston
3,Padmasolala & Lopez,Houston Padmasolala & Lopez,Houston
2,Burton & Denton,Liberty Burton & Denton,Liberty
2,Fante & Springer,Liberty Fante & Springer,Liberty
2,Larson & Nguyen,Liberty Larson & Nguyen,Liberty
2,Gaarder & Huang,Minnesota Gaarder & Huang,Minnesota
2,Kim & Fiscus,Navy Kim & Fiscus,Navy
1,Blose & Stewart,Southern Nazarene Blose & Stewart,Southern Nazarene
0,Castellanos & McFerren,Southern Nazarene Castellanos & McFerren,Southern Nazarene
0,McWilliams & Ortuno,Houston McWilliams & Ortuno,Houston
