Wins,Name,Code,School
6,Shankar & Vergho,Dartmouth Shankar & Vergho,Dartmouth
6,Pierry & Rabbini,Michigan Pierry & Rabbini,Michigan
5,Aoki & Farronay,Harvard Aoki & Farronay,Harvard
5,Barton & Habermann,Harvard Barton & Habermann,Harvard
5,Deo & Fridman,Northwestern Deo & Fridman,Northwestern
5,Eusterman & Eusterman,UC Berkeley Eusterman & Eusterman,UC Berkeley
5,Scott & McMahon,Kansas Scott & McMahon,Kansas
5,Semrick & Park,Kansas Semrick & Park,Kansas
5,Phil & Skoulikaris,Michigan Phil & Skoulikaris,Michigan
5,Kuffour & Sun,Southern California Kuffour & Sun,Southern California
5,Bittner & Robinson,Wake Forest Bittner & Robinson,Wake Forest
5,Davidson & Torguson,Wake Forest Davidson & Torguson,Wake Forest
5,Smith & Taylor,Wake Forest Smith & Taylor,Wake Forest
4,Hudson & Laibe,Baylor Hudson & Laibe,Baylor
4,Bald & Chang-Deutsch,Dartmouth Bald & Chang-Deutsch,Dartmouth
4,Hecht & Mitchell,Emory Hecht & Mitchell,Emory
4,Pak & Rajagopal,Emory Pak & Rajagopal,Emory
4,Piekut & Roytburg,Emory Piekut & Roytburg,Emory
4,Buckner & Graham,George Mason Buckner & Graham,George Mason
4,Armstrong & Loew,Nick Loew,George Mason
4,Greer & Lawless,Georgetown Greer & Lawless,Georgetown
4,Midha & Spurlock,Georgetown Midha & Spurlock,Georgetown
4,Wang & White,Georgetown Wang & White,Georgetown
4,Cazeau & Robinson,Liberty Cazeau & Robinson,Liberty
4,Meloche & Miklovis,Tony Miklovis,Michigan State
4,Amundsen & Frese,Minnesota Amundsen & Frese,Minnesota
4,Johnson & Sun,Minnesota Johnson & Sun,Minnesota
4,Lucas & Reeves,Missouri State Lucas & Reeves,Missouri State
4,Emerson & Tarnowski,Samford Emerson & Tarnowski,Samford
4,Desai & Kashyap,Texas Desai & Kashyap,Texas
4,Lugo & Reza Husain,Texas/Wayne State Lugo & Reza Husain,Texas
4,Nelson & Moore,Trinity Nelson & Moore,Trinity
4,Bennett & Chen,Iowa/Grinnell Bennett & Chen,Iowa
4,Harris & Wilkus,Kansas Harris & Wilkus,Kansas
4,Snow & Barreto,Kansas Snow & Barreto,Kansas
4,Di & Griffith,David Griffith,Kentucky
4,Adam & Kiihnl,Jared Adam,Kentucky
4,Harrington & McGraw,Michigan Harrington & McGraw,Michigan
4,Muse & margolin,Michigan margolin & Muse,Michigan
4,Bathily & Puerto,Wake Forest Bathily & Puerto,Wake Forest
4,Bathily & Trotman,Wake Forest Bathily & Trotman,Wake Forest
3,Chatur & Sturgeon,Baylor Chatur & Sturgeon,Baylor
3,Marin & Santora,Binghamton Marin & Santora,Binghamton
3,Gonzalez & Gutierrez,Dartmouth Gonzalez & Gutierrez,Dartmouth
3,Moodley & Sandhu,Emory Moodley & Sandhu,Emory
3,Navarrete & Palmer,Emory Navarrete & Palmer,Emory
3,Imbimbo & Joari,George Mason Imbimbo & Joari,George Mason
3,Peake & Lowry,George Mason Peake & Lowry,George Mason
3,Martin & Renee,Gonzaga Martin & Renee,Gonzaga
3,Ogbogu & Yeboah,Harvard Ogbogu & Yeboah,Harvard
3,Gilmer-Hill & Mukherjee,Harvard/UMass Gilmer-Hill & Mukherjee,Harvard
3,Turner & Spond,Kansas State Turner & Spond,Kansas State
3,Ramsey & Wallenmeyer,Liberty Ramsey & Wallenmeyer,Liberty
3,Phoenix-Flood & Rao,Minnesota Phoenix-Flood & Rao,Minnesota
3,Anderson McElligott & Kivimaki,Spencer Anderson McElligott,Minnesota
3,Mubarak & Beutelspacher,UTD Mubarak & Beutelspacher,UTD
3,Jack Mruz,Georgia Mruz,Georgia
3,Cavanaugh & Namakula,Iowa Cavanaugh & Namakula,Iowa
3,Putney & Sanders,Maeve Ella,Iowa
3,Basore & Spiers,Kansas Basore & Spiers,Kansas
3,Ottinger & Rahaman,Kansas Ottinger & Rahaman,Kansas
3,Flashner & Mikelson,Michigan Flashner & Mikelson,Michigan
3,El-Sharif & Ramesh,UPenn/Northeastern El-Sharif & Ramesh,Pennsylvania
3,Campbell & Mitchell,Wyoming Campbell & Mitchell,Wyoming
3,Cole & Powers,Wyoming Cole & Powers,Wyoming
3,Lassen & Radcliffe,Wyoming Lassen & Radcliffe,Wyoming
3,Bressler & Sayoto,Wake Forest Bressler & Sayoto,Wake Forest
3,Dua & Luckett,Wake Forest Dua & Luckett,Wake Forest
2,McClinton & Nguyen,Baylor McClinton & Nguyen,Baylor
2,T. Louis & Picallo,Eli T. Louis,Binghamton
2,Carter & Cheek,Boston College Carter & Cheek,Boston College
2,Fish & Logan,Indiana Fish & Logan,Indiana
2,Holland & Oluwayomi,Indiana Holland & Oluwayomi,Indiana
2,Solsman & Wagner,Liberty Solsman & Wagner,Liberty
2,Davis & Parrish,Minnesota Davis & Parrish,Minnesota
2,Prost & Rudd,Minnesota Prost & Rudd,Minnesota
2,Woodall & Wilkinson,Missouri State Woodall & Wilkinson,Missouri State
2,Rock & Korlacki,Navy Rock & Korlacki,Navy
2,Butler & Lima Boudakian,Kat Butler,New School
2,Scott & Ziabkin,NYU Scott & Ziabkin,NYU
2,Park & Stamenkovic Diez,Northwestern Park & Stamenkovic Diez,Northwestern
2,Healey & Noriega,Texas Healey & Noriega,Texas
2,Watson & Lasseter,UTD Watson & Lasseter,UTD
2,Fox & Lea,Houston Fox & Lea,Houston
2,Kidd & Cryan,Houston Kidd & Cryan,Houston
2,Khan & Hoxha,Spiro Hoxha,Houston
2,Lee & Woodcock,Kansas Lee & Woodcock,Kansas
2,Pieropan & Mantis,Kansas Pieropan & Mantis,Kansas
2,Weinhardt & Stockstill,Kentucky Weinhardt & Stockstill,Kentucky
2,Agrawal & Hsu,Michigan Agrawal & Hsu,Michigan
2,Hormozdiari & Kuo,Michigan Hormozdiari & Kuo,Michigan
2,Adams & Manjila,Pittsburgh Adams & Manjila,Pittsburgh
2,Howard & Reynolds,Wayne State Howard & Reynolds,Wayne State
2,Stephens & Phelps,Weber State Stephens & Phelps,Weber State
2,Clough & Forsyth,astrid clough,West Georgia
2,Haindfield & King,Lyd Haindfield,Western Washington
2,Roark & Shaw,Willow Roark,Western Washington
1,Pierce & Wallen,Emory Pierce & Wallen,Emory
1,Dawson & Zabolio,Gonzaga Dawson & Zabolio,Gonzaga
1,Moreno & Morioka,Gonzaga Moreno & Morioka,Gonzaga
