Wins,Name,Code,School
6,Babcock & Babcock,JCCC Babcock & Babcock,Johnson County Community
5,Beutelspacher & Mubarak,UTD Beutelspacher & Mubarak,UTD
5,Hinecker & Phillips,Wichita Hinecker & Phillips,Wichita State
4,Lasseter & Watson,UTD Lasseter & Watson,UTD
4,Harris & Wilkus,Kansas Harris & Wilkus,Kansas
4,Rahaman & Ottinger,Kansas Rahaman & Ottinger,Kansas
4,Chavez & Hummingbird,Miguel Molina Chavez,Wichita State
3,Huffman & Wendland,UCO Huffman & Wendland,Central Oklahoma
3,Cole & Powers,Wyomin Cole & Powers,Wyoming
2,Lucas & Wilkinson,MOState Lucas & Wilkinson,Missouri State
2,Karchmer & Sendejas,UTD Karchmer & Sendejas,UTD
2,Basore & Spiers,Kansas Basore & Spiers,Kansas
2,Graham & Lever,Wyomin Graham & Lever,Wyoming
1,Luke Smith,UCO Luke Smith,Central Oklahoma
1,Khan & Hoxha,Spiro Hoxha,Houston
