Wins,Name,Code,School
6,Blackwell & Riggs,Samford BR,Samford
5,Hoham & Fish,Indiana HF,Indiana
4,Gleason & McCaffrey,Louis Gleason,Boston College
4,Jasani & Logan,Indiana JL,Indiana
4,McManus & Wentling,Wichita State MW,Wichita State
3,Butler & Dickerson,Cornell BD,Cornell
3,Lima Boudakian & Kaase,New School LK,New School
3,Ciacciarelli & Teng,NYU CT,NYU
3,Manian & Crisan,Purdue MC,Purdue
2,Novak & Linares,CSU Long Beach NL,CSU Long Beach
2,Cole & Pierson,Wyoming CP,Wyoming
1,Muste & Montaudy,New School MM,New School
1,Kostecke & Trestrail,Wayne State KT,Wayne State
