Wins,Name,Code,School
6,Bathily & Puerto,Wake Forest BP,Wake Forest
5,Cavanaugh & Namakula,Iowa CN,Iowa
5,Kruger & Taylor,Wake Forest KT,Wake Forest
4,Koster & Scott,Michigan State KS,Michigan State
4,Johnson & Sun,Minnesota JS,Minnesota
4,Spiers & zin,Kansas SZ,Kansas
4,Crowley & Majeed,Wake Forest CM,Wake Forest
4,Alexis & Datel,Washington/Columbia AD,Washington University in St. Louis
4,Chavez & Hummingbird,Miguel Molina Chavez,Wichita State
3,Carter & Cheek,Boston College CC,Boston College
3,Karchmer & Sendejas,UTD KS,UTD
3,Lasseter & Watson,UTD LW,UTD
3,Wilkus & Harris,Kansas WH,Kansas
3,Flashner & Mikelson,Michigan FM,Michigan
3,Allison & Winchell,Southern California AW,Southern California
3,Graham & Lever,Wyoming GL,Wyoming
3,Howard & Reynolds,Wayne State HR,Wayne State
2,Dean & Gines,Harvard DG,Harvard
2,Powers & swidecki,Wyoming PS,Wyoming
2,Haindfield & King,Lyd Haindfield,Western Washington
1,Lauren Hollis,Harvard LH,Harvard
1,Toro & StPeter,Oakton/Georgia State TS,Oakton Community
1,Lee & Woodcock,Kansas LW,Kansas
