Wins,Name,Code,School
6,Richardson & Iwanoff,Liberty RI,Liberty
5,Bahamonde & Magpiong,George Mason BM,George Mason
5,Dressel & Fuchs,Jay Fuchs,George Mason
5,Berry & Thompson,Liberty BT,Liberty
4,Baio & Walsh,Binghamton BW,Binghamton
4,Bhurtel & Yalch,George Mason BY,George Mason
4,Horne & McIntosh,Liberty HM,Liberty
4,Hanrahan & Pitts,Monmouth HP,Monmouth
4,Shatilensko & Duerig,United States Military SD,United States Military
3,Ridenhour & So,Binghamton RS,Binghamton
3,Nitzberg & Oconnell,Monmouth NO,Monmouth
2,Feinland & Levy,Binghamton FL,Binghamton
2,Nguyen & McCabe,Liberty/United States Military NM,Liberty
1,O'Neill & Reyes,Binghamton OR,Binghamton
1,Alshuhayeb & Sejiny,George Mason AS,George Mason
1,Reynoso & Redrup,Monmouth RR,Monmouth
0,Choudry & Al Ani,George Mason CA,George Mason
0,Jackson & Vantikommu,George Mason JV,George Mason
