Wins,Name,Code,School
6,McNabb & Wachsmuth,Boston College MW,Boston College
5,Alshuhayeb & Fuchs,Jay Fuchs,George Mason
5,Clement & Rinehart,James Madison CR,James Madison
4,Wright & Dim,James Madison WD,James Madison
4,Aurora & Jin,NYU AJ,NYU
4,Fugate & Sanabria,UT San Antonio FS,UT San Antonio
3,Balda & Mishra,James Madison BM,James Madison
3,Calamari & Filosa,Monmouth CF,Monmouth
3,Melman-kenny & Mykulyn,Monmouth MM,Monmouth
3,Smith & Yalch,Monmouth SY,Monmouth
3,Ku & Li,NYU KL,NYU
2,Machnicki & Rosta,Monmouth MR,Monmouth
2,Ortegalopez & Zupkay,Monmouth OZ,Monmouth
2,Valerio & Palmer,Monmouth VP,Monmouth
1,Cuevas & Falatoonzadeh,Cal State Fullerton CF,Cal State Fullerton
