Wins,Name,Code,School
6,Lassen & Radcliffe,Wyoming LR,Wyoming
5,White & Loayza,Cal State Fullerton WL,Cal State Fullerton
5,Davis & Parrish,Minnesota DP,Minnesota
5,Johnson & Sun,Minnesota JS,Minnesota
4,Phoenix-Flood & Spencer,Minnesota/Arizona State PS,Arizona State
4,Imbimbo & Joari,George Mason IJ,George Mason
4,Amundsen & Frese,Minnesota AF,Minnesota
4,Fernando & Pierce,NYU FP,NYU
4,Lasseter & Watson,UTD LW,UTD
3,Meza & Ryals,Cal State Fullerton MR,Cal State Fullerton
3,Palmieri & Virk,George Mason PV,George Mason
3,Raman & Stinson,Tufts RS,Tufts
3,Beutelspacher & Mubarak,UTD BM,UTD
3,Sendejas & Karchmer,UTD SK,UTD
3,Graham & Lever,Wyoming GL,Wyoming
3,Reza Husain & Reynolds,Wayne State RR,Wayne State
3,Haindfield & King,Lyd Haindfield,Western Washington
3,Roark & Shaw,Willow Roark,Western Washington
2,Conrad & Gleason,Louis Gleason,Boston College
2,Garcia & Wiessner,Cal State Fullerton GW,Cal State Fullerton
2,Spond & Turner,Kansas State ST,Kansas State
2,Toro & Karsh,Oakton Community/Macalester TK,Oakton Community
2,Wallenburg & Lado,Nebraska-Lincoln WL,Nebraska-Lincoln
2,Cole & swidecki,Wyoming CS,Wyoming
2,Pierson & Powers,Wyoming PP,Wyoming
1,Auquilla & Mittur,NYU AM,NYU
1,Doppalapudi & Scott,NYU DS,NYU
