Wins,Name,Code,School
6,Giampetruzzi & Kessler,Emory GK,Emory
6,Bittner & Davidson,Wake Forest BD,Wake Forest
5,Deo & Wegener,Northwestern DW,Northwestern
5,Park & Park,Kansas PP,Kansas
5,McDermott & Skoulikaris,Michigan MS,Michigan
4,Hecht & Lobo,Emory HL,Emory
4,Pierce & Wallen,Emory PW,Emory
4,Cowan & Sayers,Georgetown CS,Georgetown
4,Kumar & Wang,Georgetown KW,Georgetown
4,Renee & Wellman,Gonzaga RW,Gonzaga
4,Glancy & Miklovis,Michigan State GM,Michigan State
4,Johnson & Phoenix-Flood,Minnesota JP,Minnesota
4,Anderson & Desai,Texas AD,Texas
4,Harris & Soper,Kansas HS,Kansas
4,Semrick & Marshall,Kansas SeMa,Kansas
4,Wilkus & Yang,Kansas WY,Kansas
4,Griffith & Kiihnl,Kentucky GK,Kentucky
4,Ippagunta & Shih,Michigan IS,Michigan
4,El-Sharif & Ramesh,Pennsylvania/Northeastern ER,Pennsylvania
3,Bellam & Wilson,Emory BeWi,Emory
3,Palmer & Shirts,Emory PS,Emory
3,Loew & Reed,George Mason LR,George Mason
3,Posey & Wallenmeyer,Liberty PW,Liberty
3,Gusis & Koster,Michigan State GK,Michigan State
3,Cade & Lucas,Missouri State CL,Missouri State
3,Moore & Patterson,Trinity MP,Trinity
3,Walker & Wilson,Trinity WW,Trinity
3,Lasseter & Mubarak,UTD LM,UTD
3,Adam & Di,Kentucky AD,Kentucky
3,Kuo & Rabbini,Michigan KR,Michigan
3,Rabbini & Shah,Pittsburgh RS,Pittsburgh
3,Campbell & Campbell,Wyoming CC,Wyoming
3,Lassen & Powers,Wyoming LP,Wyoming
3,Mitchell & Swidecki,Wyoming MS,Wyoming
3,Bressler & Mojica,Wake Forest BM,Wake Forest
2,Cheek & Gleason,Louis Gleason,Boston College
2,Bedi & Waghray,Emory BW,Emory
2,Moreno & Dawson,Gonzaga MD,Gonzaga
2,Penumetcha & Jasani,Indiana PJ,Indiana
2,gearring & Scott,Michigan State GS,Michigan State
2,Haber-Fawcett & Floyd,Benjy Haber-Fawcett,Minnesota
2,Davis & Herzer,Minnesota DH,Minnesota
2,Albright & Woodall,Missouri State AW,Missouri State
2,Blackwell & Riggs,Samford BR,Samford
2,Dover & Hudgins,Mary Washington DH,Mary Washington
2,Cline & Shaw,Wake Forest CS,Wake Forest
1,Logan & Vidali,Indiana LV,Indiana
1,Santiago & Choi,Navy SC,Navy
1,Avery & Lee,Northwestern AL,Northwestern
1,Mruz & Vale,Georgia MV,Georgia
0,Bhargav & Hoxha,Houston BH,Houston
