Wins,Name,Code,School
5,Price & Williams,Macalester PW,Macalester
5,Parrish & Prost,Minnesota PP,Minnesota
5,Anderson McElligott & Kivimaki,Spencer Anderson McElligott,Minnesota
4,Haber-Fawcett & Herzer,Benjy Haber-Fawcett,Minnesota
4,Mubarak & Lasseter,UTD ML,UTD
4,Molina Chavez & Hummingbird,Wichita State CH,Wichita State
3,Davis & Munson,Minnesota DM,Minnesota
3,Butler & Lima Boudakian,New School BL,New School
3,Karchmer & Sendejas,UTD KS,UTD
2,Cheek & Gleason,Louis Gleason,Boston College
2,Sum & Robertson,Kansas State SR,Kansas State
2,Layden & Modi,NYU LM,NYU
1,Ryals & Perez,Bryan Perez Rivas,Cal State Fullerton
0,Wiessner & Delgado,Cal State Fullerton WD,Cal State Fullerton
