Wins,Name,Code,School
6,Choudhury & Ridenhour,Bing CR,Binghamton
5,Jain & Wang,NYU JW,NYU
4,Treulich & Wang,Bing TW,Binghamton
4,Ku & Li,NYU KL,NYU
4,Fetter & Phillips,WVU FP,West Virginia
3,Ahn & Li,NYU AL,NYU
3,Emrich & Edelstein,Rochester EE,Rochester
3,Carr & Fritts,WVU CF,West Virginia
2,Barratt & Kohlenberger,Cornell BK,Cornell
2,Gallo & Lapidus,New School GL,New School
2,Jones & Kpade,New School JK,New School
2,Merrick & Woodring,Suffolk MW,Suffolk
2,Lama & Ozcayir,Rochester LO,Rochester
0,Burns & Wong,Suffolk BW,Suffolk
