Wins,Name,Code,School
6,Krambeer & Reed-Valizan,EmpSta KR,Emporia State
5,Sims & Vereen,EmpSta SV,Emporia State
5,Huffman & Smith,CenOkl HS,Central Oklahoma
5,Hines & Wilkus,Kansas HW,Kansas
4,Wendland & Williams,CenOkl WW,Central Oklahoma
4,Hummingbird & Molina Chavez,WicSta HM,Wichita State
3,Sullivan & Teague,Oklaho ST,Oklahoma
3,Ziegelman & Yang,Kansas ZY,Kansas
2,Houston & Wright,Oklaho HW,Oklahoma
2,Waheed & Smith,Oklaho WS,Oklahoma
1,Assaf & Singh,Kansas AS,Kansas
1,Johnson & Kent,Kansas JK,Kansas
1,Kimp & Lee,Kansas KL,Kansas
