Wins,Name,Code,School
7,Ortega & Flores,Jay-Z Flores,CSU Long Beach
7,Bald & Chang-Deutsch,Dartmouth BC,Dartmouth
7,Shankar & Vergho,Dartmouth SV,Dartmouth
7,Phil & Pierry,Michigan PP,Michigan
7,Robinson & Trotman,Wake Forest RT,Wake Forest
6,Giampetruzzi & Kessler,Emory GK,Emory
6,Mitchell & Piekut,Emory MP,Emory
6,Lawless & Wang,Georgetown LW,Georgetown
6,Farronay & Dean,Harvard FD,Harvard
6,Cavanaugh & Ella,Iowa CE,Iowa
6,McDermott & Skoulikaris,Michigan MS,Michigan
6,Bhadani & Sun,Southern California BS,Southern California
6,Bittner & Davidson,Wake Forest BD,Wake Forest
5,T. Louis & Picallo,Eli T. Louis,Binghamton
5,Conry & Rupp,Emory CR,Emory
5,Hecht & Lobo,Emory HL,Emory
5,Greer & White,Georgetown GW,Georgetown
5,Kumar & Sayers,Georgetown KS,Georgetown
5,Gines & Ogbogu,Harvard GO,Harvard
5,Price & Williams,Macalester PW,Macalester
5,Glancy & Meloche,Michigan State GM,Michigan State
5,Gusis & Miklovis,Michigan State GuMi,Michigan State
5,Deo & Wegener,Northwestern DW,Northwestern
5,Semrick & Park,Kansas SP,Kansas
5,Di & Gabay,Kentucky DG,Kentucky
5,Griffith & Kiihnl,Kentucky GK,Kentucky
5,Bressler & Mojica,Wake Forest BM,Wake Forest
5,Mckenzie & Reza Husain,Wayne State MR,Wayne State
4,Marin & Santora,Binghamton MS,Binghamton
4,Baugher & Niblett,Dartmouth BN,Dartmouth
4,Datel & Parikh,Dartmouth DP,Dartmouth
4,Bellam & Palmer,Emory BP,Emory
4,Doubledee & Satovsky,Emory DS,Emory
4,Kim & Shirts,Emory KS,Emory
4,Pierce & Wallen,Emory PW,Emory
4,Dixon & Yeshitila,Harvard DY,Harvard
4,Anderson McElligott & Kivimaki,Minnesota AK,Minnesota
4,Johnson & Phoenix-Flood,Minnesota JP,Minnesota
4,Parrish & Prost,Minnesota PP,Minnesota
4,Makinde & Saigal,NYU MS,NYU
4,Agbede & Rubin,Northwestern AR,Northwestern
4,Chuang & Pacconi,Northwestern CP,Northwestern
4,Fleming & Tsan,UC Berkeley FT,UC Berkeley
4,Menotti & Reichel,UC Berkeley MR,UC Berkeley
4,Spiers & Wilkus,Kansas SW,Kansas
4,Stinson & Mukherjee,"Massachusetts, Amherst SM","Massachusetts, Amherst"
4,Ippagunta & Shih,Michigan IS,Michigan
4,El-Sharif & Ramesh,Pennsylvania ER,Pennsylvania
4,Rahman & Reese,Rayeed Rahman,Southern California
4,Lassen & Powers,Wyoming LP,Wyoming
3,Cai & Vazquez Torres,Dartmouth CV,Dartmouth
3,Waghray & Wilson,Emory WW,Emory
3,Cowan & Murarka,Georgetown CM,Georgetown
3,Kundu & Li,Harvard/Tufts KL,Harvard
3,Davis & Haber-Fawcett,Benjy Haber-Fawcett,Minnesota
3,Herzer & Abad,Nine Abad,Minnesota
3,Kennedy & Lucas,Missouri State KL,Missouri State
3,Avery & Lee,Northwestern AL,Northwestern
3,Sendejas & Lasseter,UTD SL,UTD
3,McBlain & Williams,Kentucky MW,Kentucky
3,Dover & Hudgins,Mary Washington DH,Mary Washington
3,Khan & Freeman,Southern California KF,Southern California
3,Perez & Sayoto,Wake Forest PS,Wake Forest
3,Keller & Larson,West Georgia KL,West Georgia
2,Cohn & Guizatoullina,Binghamton CG,Binghamton
2,Wiessner & Delgado,Cal State Fullerton WD,Cal State Fullerton
2,Conway & Pelletier,James Madison CP,James Madison
2,Crisan & Manian,Purdue CM,Purdue
2,Blackwell & Riggs,Samford BR,Samford
2,Doratt & Fernandez,Houston DF,Houston
2,Khan & Yadagiri,Houston KY,Houston
2,Dal Pra & Stockstill,Kentucky DS,Kentucky
2,Channa & Ramireddy,Southern California CR,Southern California
2,Jack & Lopez,Southern California JL,Southern California
1,Loayza & Perez,Bryan Perez Rivas,Cal State Fullerton
1,Santiago & Choi,Navy SC,Navy
0,Patterson & Toro,Trinity/Oakton Community PT,Trinity
