Wins,Name,Code,School
5,Noonan & Midithuri,Indiana NM - ONLINE,Indiana
4,Eubanks & Hackett,Samford EH - ONLINE,Samford
4,Ford & Hammond,Samford FH - ONLINE,Samford
3,Marsh & Mykulyn,Monmouth MM - ONLINE,Monmouth
3,Kelly-Williams & Hutchinson,Samford KH - ONLINE,Samford
2,Belloso & Bros,Monmouth BB - ONLINE,Monmouth
2,Zupkay & Ortegalopez,Monmouth ZO - ONLINE,Monmouth
2,Noriega & Sanders,Southwestern/Indiana NS - ONLINE,Southwestern
1,Marcelin & Santiago,Monmouth MS - ONLINE,Monmouth
1,Diaz-Medina & Gutierrez,Southwestern DG - ONLINE,Southwestern
