Wins,Name,Code,School
6,Luckett & Taylor,Wake Forest Luckett & Taylor,Wake Forest
5,Adam & Weinhardt,Kentucky Adam & Weinhardt,Kentucky
5,Griffith & Kiihnl,Kentucky Griffith & Kiihnl,Kentucky
5,McDermott & Skoulikaris,Michigan McDermott & Skoulikaris,Michigan
5,Shih & Ippagunta,Michigan Shih & Ippagunta,Michigan
5,Babcock & Babcock,Wichita State Babcock & Babcock,Wichita State
5,Phillips & Smith,Wichita State Phillips & Smith,Wichita State
4,Darwish & Hudson,Baylor Darwish & Hudson,Baylor
4,Bennett & Koster,Michigan State Bennett & Koster,Michigan State
4,Johnson & Phoenix-Flood,Minnesota Johnson & Phoenix-Flood,Minnesota
4,Chuang & Pacconi,Northwestern Chuang & Pacconi,Northwestern
4,Stamenkovic Diez & Subingsubing,Northwestern Stamenkovic Diez & Subingsubing,Northwestern
4,Barreto & Spiers,Kansas Barreto & Spiers,Kansas
4,Harris & Soper,Kansas Harris & Soper,Kansas
4,Marshall & Park,Kansas Marshall & Park,Kansas
4,Di & Gabay,Kentucky Di & Gabay,Kentucky
4,McBlain & Williams,Kentucky McBlain & Williams,Kentucky
4,Lassen & Powers,Wyoming Lassen & Powers,Wyoming
4,Mitchell & Swidecki,Wyoming Mitchell & Swidecki,Wyoming
4,Bressler & Mojica,Wake Forest Bressler & Mojica,Wake Forest
3,Reed-Valizan & Sims,Emporia State Reed-Valizan & Sims,Emporia State
3,Morioka & Zabolio,Gonzaga Morioka & Zabolio,Gonzaga
3,Penumetcha & Jasani,Indiana Penumetcha & Jasani,Indiana
3,gearring & Scott,Michigan State gearring & Scott,Michigan State
3,Haber-Fawcett & Herzer,Benjy Haber-Fawcett,Minnesota
3,Lucas & Cade,Missouri State Lucas & Cade,Missouri State
3,Wilkinson & Shew,Missouri State Wilkinson & Shew,Missouri State
3,Kim & Ye,Northwestern Kim & Ye,Northwestern
3,Blackwell & Riggs,Samford Blackwell & Riggs,Samford
3,Gill & Tarnowski,Samford Gill & Tarnowski,Samford
3,Khan & Yadagiri,Houston Khan & Yadagiri,Houston
3,Hines & Vu,Kansas Hines & Vu,Kansas
3,Willingham & McConnell,Kansas Willingham & McConnell,Kansas
3,Yang & Wilkus,Kansas Yang & Wilkus,Kansas
3,Schultz & Martinez,Luna Schultz,Kansas
3,Dal Pra & Stockstill,Kentucky Dal Pra & Stockstill,Kentucky
3,Gies & Simha,Navya Simha,Michigan
3,Campbell & Campbell,Wyoming Campbell & Campbell,Wyoming
3,Molina Chavez & Hummingbird,Wichita State Molina Chavez & Hummingbird,Wichita State
2,Bhurtel & Fuchs,Jay Fuchs,George Mason
2,Dawson & Moreno,Gonzaga Dawson & Moreno,Gonzaga
2,Renee & Wellman,Gonzaga Renee & Wellman,Gonzaga
2,Hoham & Fish,Indiana Hoham & Fish,Indiana
2,Vidali & Logan,Indiana Vidali & Logan,Indiana
2,Scully & Zi,Michigan State Scully & Zi,Michigan State
2,Davis & Munson,Minnesota Davis & Munson,Minnesota
2,Sullivan & Teague,Oklahoma Sullivan & Teague,Oklahoma
2,Abad & Goodrich,Nine Abad,Houston
2,Abughosh & Shaw,Wake Forest Abughosh & Shaw,Wake Forest
2,Howard & Trestrail,Wayne State Howard & Trestrail,Wayne State
2,Johnston & Parkin,Weber State Johnston & Parkin,Weber State
2,Crowley & Thompson,Western Washington Crowley & Thompson,Western Washington
1,Granger & Shockley,Missouri State Shockley & Granger,Missouri State
1,Manian & Crisan,Purdue Manian & Crisan,Purdue
1,Willson & Weisbach,Wyoming/Indiana Willson & Weisbach,Wyoming
1,Haindfield & Shaw,Lyd Haindfield,Western Washington
0,Sheffield & Traxler,Houston Sheffield & Traxler,Houston
