Wins,Name,Code,School
6,Rodak & Stolzenfeld,George Mason RoSt,George Mason
6,Richter & Shananier,George Mason RS,George Mason
4,Shihab & Vantikommu,George Mason SV,George Mason
4,Bridges & Lacasse,Liberty BL,Liberty
4,Shuttlesworth & Turner,Liberty ST,Liberty
4,Fetter & Phillips,West Virginia FP,West Virginia
3,Jimenez & Trudell,Binghamton JT,Binghamton
3,Reyes & Patel,George Mason RP,George Mason
3,Chauhan & Smith,James Madison SC,James Madison
3,Schjoth & Mahyoub,James Madison SM,James Madison
3,Motu & Rea,Navy MR,Navy
3,McGee & McCabe,United States Military MM,United States Military
2,Wang & Treulich,Binghamton TW,Binghamton
2,Corredor & Porter,Liberty CP,Liberty
2,Jensen & Life,Liberty JL,Liberty
1,Woodring & Burns,Suffolk WB,Suffolk
1,Wong & Rivera Sandoval,Suffolk WR,Suffolk
