Wins,Name,Code,School
6,Posey & Wallenmeyer,Liberty PW,Liberty
5,Conway & Pelletier,James Madison CP,James Madison
5,Opron & Shatilenko,United States Military OS,United States Military
4,Cohn & Guizatoullina,Binghamton CG,Binghamton
4,Dellinger & Hamilton,Liberty DH,Liberty
3,Fuchs & Bhurtel,Jay Fuchs,George Mason
3,Balda & Mishra,James Madison BM,James Madison
3,Berry & Horne,Liberty BH,Liberty
3,Christ & Tittle,Towson CT,Towson
2,Alshuhayeb & Rizzoli,George Mason AR,George Mason
2,Choi & Santiago,Navy CS,Navy
1,Ahmad & Lea,Cornell AL,Cornell
1,Kim & Basu-Mallick,Navy BK,Navy
