Wins,Name,Code,School
5,Bhurtel & Fuchs,Jay Fuchs,George Mason
5,Jameson Balda,James Madison JB,James Madison
5,Horne & Posey,Liberty HP,Liberty
5,Houston & Teague,Oklahoma HT,Oklahoma
4,Cohn & Guizatoullina,Binghamton CG,Binghamton
4,Berry & Short,Liberty BS,Liberty
4,Dellinger & Hamilton,Liberty DH,Liberty
3,Choudhury & Treulich,Binghamton CT,Binghamton
3,Harlow & Ortiz,James Madison HO,James Madison
3,Smith & Waheed,Oklahoma SW,Oklahoma
2,Ciacciarelli & Toussaint,NYU CT,NYU
2,Ku & Li,NYU KL,NYU
1,Kohlenberger & Lea,Cornell KL,Cornell
1,Rizzoli & Alshuhayeb,George Mason RA,George Mason
1,Edelstein & Emrich,Rochester EE,Rochester
