Wins,Name,Code,School
6,Reyes & Stolzenfeld,George Mason SR,George Mason
5,Wiley & Fernando,Indiana WF,Indiana
5,Bridges & Turner,Liberty BT,Liberty
5,Carter & Miley,Liberty CM,Liberty
4,Pelli & Xiong,Emory PX,Emory
4,Rodak & Kirabo,George Mason RK,George Mason
4,Alexander & Midithuri,Indiana AM,Indiana
4,Lacasse & Life,Liberty LL,Liberty
3,Noonan & Shuttlesworth,Indiana/Liberty NS,Indiana
3,Edwards & Stafford,Liberty ES,Liberty
3,Jensen & Porter,Liberty JP,Liberty
3,Hutchinson & Kelly-Williams,Samford HK,Samford
3,Awan & Threat,Houston AT,Houston
3,Martinez & zahid,Houston MZ,Houston
2,Corredor & Zangaro,Liberty CZ,Liberty
2,Davis & Evenstad,Trinity DE,Trinity
2,Puthoor Manoj & Regassa,Houston PR,Houston
2,Varughese & Russell,Houston VR,Houston
1,Maffei & Milewski,Liberty MM,Liberty
1,Gutierrez & Noriega,Southwestern GN,Southwestern
1,Gebrelul & Sanchez,Houston GS,Houston
