Wins,Name,Code,School
6,Khan & Yadagiri - ONLINE,Houston Khan & Yadagiri,Houston
6,Soper & Harris,Kansas Soper & Harris,Kansas
5,Darwish & Hudson,Baylor Darwish & Hudson,Baylor
5,Haber-Fawcett & Herzer - ONLINE,Benjy Haber-Fawcett,Minnesota
5,Huffman & Smith,Central Oklahoma Huffman & Smith,Central Oklahoma
4,Krambeer & Reed-Valizan,Emporia State Krambeer & Reed-Valizan,Emporia State
4,Parrish & Prost - ONLINE,Minnesota Parrish & Prost,Minnesota
4,Yang & Willingham,Kansas Yang & Willingham,Kansas
4,Campbell & Campbell - ONLINE,Wyoming Campbell & Campbell,Wyoming
4,Willson & Rhee - ONLINE,Wyoming/Vanderbilt Willson & Rhee,Wyoming
4,Cho & Jones - ONLINE,Wake Forest Cho & Jones,Wake Forest
3,Cabrera & Sims,Emporia State Cabrera & Sims,Emporia State
3,Healey & Noriega - ONLINE,Texas Healey & Noriega,Texas
3,Abad & Sheffield - ONLINE,Nine Abad,Houston
3,Martinez & McConnell,Kansas Martinez & McConnell,Kansas
3,Hummingbird & Molina Chavez,Wichita State Hummingbird & Molina Chavez,Wichita State
2,McClinton & Sturgeon,Baylor McClinton & Sturgeon,Baylor
2,Renee & Wellman - ONLINE,Gonzaga Renee & Wellman,Gonzaga
2,Robertson & Sum,Kansas State Robertson & Sum,Kansas State
2,Smith & Waheed,Oklahoma Smith & Waheed,Oklahoma
2,Wendland & Williams,Central Oklahoma Wendland & Williams,Central Oklahoma
2,Cline & wolfe - ONLINE,Wake Forest Cline & wolfe,Wake Forest
1,Morioka & Zabolio - ONLINE,Gonzaga Morioka & Zabolio,Gonzaga
1,Houston & Shadman,Oklahoma Houston & Shadman,Oklahoma
1,Sullivan & Teague,Oklahoma Sullivan & Teague,Oklahoma
0,Pham & Harker,Kansas Pham & Harker,Kansas
