Wins,Name,Code,School
8,Fuchs & Bhurtel,Jay Fuchs,George Mason
7,Sosa & Viera,Emory SV,Emory
6,Liu & Toure,Emory LT,Emory
6,Balda & Mishra,James Madison BM,James Madison
5,Hough & McFerren,Southern Nazarene HM,Southern Nazarene
4,Chatpunnarangsee & Kierzyk,Indiana CK,Indiana
3,Agarwal & Basu-Mallick,Navy AB,Navy
3,Hubbard & Peral,Pennsylvania State HP,Pennsylvania State
2,Dim & McKim,James Madison DM,James Madison
2,McMahon & Murray,Pennsylvania State MM,Pennsylvania State
2,Tsao & Warnock,Georgia TW,Georgia
