Wins,Name,Code,School
6,Wentling & Smith,Wichita State Wentling & Smith,Wichita State
5,Krambeer & Reed-Valizan,Emporia State Krambeer & Reed-Valizan,Emporia State
5,Kennedy & Cade,Missouri State Kennedy & Cade,Missouri State
5,Schultz & Martinez,Luna Schultz,Kansas
4,Rios & Karthik,UTD Rios & Karthik,UTD
3,Burns & Shew,Missouri State Burns & Shew,Missouri State
3,Sendejas & Karchmer,UTD Sendejas & Karchmer,UTD
3,Wendland & Williams,Central Oklahoma Wendland & Williams,Central Oklahoma
3,Yadagiri & Sheffield,Houston Yadagiri & Sheffield,Houston
3,Pham & Vu,Kansas Pham & Vu,Kansas
2,Smith & Waheed,Oklahoma Smith & Waheed,Oklahoma
1,Granger & Wilkinson,Missouri State Granger & Wilkinson,Missouri State
1,Teague & McManus,Oklahoma/Wichita State Teague & McManus,Oklahoma
1,Fernandez & Doratt,Houston Fernandez & Doratt,Houston
