Wins,Name,Code,School
6,Cline & wolfe,Wake Forest CW,Wake Forest
5,Dellinger & Hamilton,Liberty DH,Liberty
5,Megill & Short,Liberty MS,Liberty
4,Harlow & Ortiz,James Madison HO,James Madison
4,McKim & Rinehart,James Madison MR,James Madison
4,Pelletier & Mishra,James Madison PM,James Madison
3,Sosa & Viera,Emory SV,Emory
3,Alshuhayeb & Rizzoli,George Mason AR,George Mason
3,Bhurtel & Yalch,George Mason BY,George Mason
3,Fuchs & Tatum,Jay Fuchs,George Mason
3,Ciacciarelli & Teng,NYU CT,NYU
3,Ku & Li,NYU KL,NYU
2,Dim & Wright,James Madison DW,James Madison
2,McIntosh & Berry,Liberty BM,Liberty
2,Montgomery & Scott,Samford MS,Samford
2,Warnock & Tsao,Georgia WT,Georgia
2,Li & Weisbach,Wake Forest/Indiana LW,Wake Forest
1,Santiago & Choi,Navy SC,Navy
1,Chamberlain & Cook,Texas Tech CC,Texas Tech
