Wins,Name,Code,School
6,Carter & Miley,Liberty CM,Liberty
5,Bridges & Stafford,Liberty BS,Liberty
5,Badrick & Kroft,Pennsylvania State BK,Pennsylvania State
4,Cheng & Nguyen,Emory CN,Emory
4,Biegel & Richter,George Mason BR,George Mason
4,Jensen & Porter,Liberty JP,Liberty
4,Lacasse & Life,Liberty LL,Liberty
4,Shuttlesworth & Zangaro,Liberty SZ,Liberty
4,Eubanks & Hackett,Samford EH,Samford
4,Hutchinson & Kelly-Williams,Samford HK,Samford
4,Regassa & zahid,Houston RZ,Houston
4,Busch & Hungar,Mary Washington BH,Mary Washington
3,Abdel-Latif & Shananier,George Mason AS,George Mason
3,Dinesh & Shihab,George Mason DS,George Mason
3,Patel & Reyes,George Mason PR,George Mason
3,Motu & Stracensky,Navy MS,Navy
3,Ford & Hammond,Samford FH,Samford
3,Awan & Lathish,Houston AL,Houston
2,Tamana & Smith,Emory/James Madison TS,Emory
2,Chauhan & Oehler,James Madison CO,James Madison
2,Mahyoub & Schjoth,James Madison MS,James Madison
2,Mannella & Muir,Navy MM,Navy
2,Pellei & Rea,Navy PR,Navy
2,Evenstad & Spaulding,Trinity ES,Trinity
2,Gebrail & Kumar,Houston GK,Houston
1,Maffei & Milewski,Liberty MM,Liberty
1,Tran & Walther,Georgia TW,Georgia
