Wins,Name,Code,School
6,Johnson & Phoenix-Flood,Minnesota JP,Minnesota
6,Agbede & Rubin,Northwestern AR,Northwestern
5,Fleming & Tsan,CalBerkeley FT,CalBerkeley
5,Wallen & Pierce,Emory WP,Emory
4,Ortega & Flores,Jay-Z Flores,CSU Long Beach
4,Penumetcha & Vidali,Indiana PV,Indiana
4,Horne & Posey,Liberty HP,Liberty
4,Parrish & Prost,Minnesota PP,Minnesota
4,Anderson McElligott & Kivimaki,Spencer Anderson McElligott,Minnesota
4,Chuang & Pacconi,Northwestern CP,Northwestern
4,El-Sharif & Ramesh,Pennsylvania ER,Pennsylvania
3,Kumar & Lowenstein,Georgetown KL,Georgetown
3,Moreno & Zabolio,Gonzaga MZ,Gonzaga
3,Makinde & Saigal,NYU MS,NYU
3,Stamenkovic Diez & Subingsubing,Northwestern SS,Northwestern
3,Stinson & Mukherjee,"Tufts/Massachusetts, Amherst SM",Tufts
3,Goodrich & Foster,Houston GF,Houston
3,Khan & Abad,Nine Abad,Houston
3,Dover & Hudgins,Mary Washington DH,Mary Washington
3,Willson & Swidecki,Wyoming SW,Wyoming
3,Perez & Shaw,Wake Forest PS,Wake Forest
2,Hua & Cheek,Boston College HC,Boston College
2,Waghray & Wilson,Emory WW,Emory
2,Avery & Lee,Northwestern AL,Northwestern
2,Kim & Zimmerman,Northwestern KZ,Northwestern
2,Doratt & Fernandez,Houston DF,Houston
2,Graham & Lever,Wyoming GL,Wyoming
1,Alnasser & Lea,Cornell AL,Cornell
1,Haber-Fawcett & Herzer,Benjy Haber-Fawcett,Minnesota
1,Kidd & Nguyen,Houston KN,Houston
1,Balanovsky & Elsakhawy,Pennsylvania BE,Pennsylvania
