Wins,Name,Code,School
6,Clough & Larson,West Georgia CL,West Georgia
5,Hudson & Laibe,Baylor HL,Baylor
5,Anderson McElligott & Kivimaki,Spencer Anderson McElligott,Minnesota
5,Cryan & Fox,Houston CF,Houston
4,Watson & Lasseter,UTD WL,UTD
4,Lassen & Powers,Wyoming LP,Wyoming
3,Robertson & Turner,Kansas State RT,Kansas State
3,Cavanaugh & Sanders,Maeve Ella,Iowa
2,Dawson & Wellman,Gonzaga DW,Gonzaga
2,Mruz & Vale,Georgia MV,Georgia
2,Campbell & Campbell,Wyoming CC,Wyoming
1,Johnston & Johnston,Weber State JJ,Weber State
0,Fish & Hoham,Indiana FH,Indiana
0,Haindfield & Roark,Lyd Haindfield,Western Washington
