Wins,Name,Code,School
6,Giampetruzzi & Kessler,Emory GK,Emory
6,Phil & Pierry,Michigan PP,Michigan
6,Robinson & Trotman,Wake Forest RT,Wake Forest
5,Picallo & T. Louis,Eli T. Louis,Binghamton
5,Ortega & Flores,Jay-Z Flores,CSU Long Beach
5,Shankar & Vergho,Dartmouth SV - ONLINE,Dartmouth
5,Hecht & Lobo,Emory HL,Emory
5,Greer & White,Georgetown GW,Georgetown
5,Lawless & Wang,Georgetown LW,Georgetown
5,Dixon & Yeshitila,Harvard DY,Harvard
5,McMahon & Scott,Kansas MS,Kansas
5,Harrington & Rabbini,Michigan HR,Michigan
5,Bhadani & Sun,Southern California BS,Southern California
5,Bittner & Davidson,Wake Forest BD,Wake Forest
4,Santora & Marin,Binghamton SM,Binghamton
4,Bald & Chang-Deutsch,Dartmouth BC - ONLINE,Dartmouth
4,Mitchell & Piekut,Emory MP,Emory
4,Pierce & Wallen,Emory PW,Emory
4,Reed & Loew,GMU LR,George Mason
4,Dean & Farronay,Harvard DF,Harvard
4,Williams & Price,Macalester WP,Macalester
4,Glancy & Meloche,Michigan State GlMe - ONLINE,Michigan State
4,Deo & Wegener,Northwestern DW,Northwestern
4,Anderson & Bhasin,Texas AB,Texas
4,Desai & Kashyap,Texas DK,Texas
4,Huffman & Smith,Central Oklahoma HS - ONLINE,Central Oklahoma
4,Cavanaugh & Ella,Iowa CE,Iowa
4,Barreto & Spiers,Kansas BS,Kansas
4,Semrick & Park,Kansas SP,Kansas
4,Gabay & Di,Kentucky GD,Kentucky
4,Griffith & Kiihnl,Kentucky GK,Kentucky
4,Berhe & Mukherjee,"Massachusetts, Amherst BM","Massachusetts, Amherst"
4,McDermott & Skoulikaris,Michigan MS,Michigan
4,Rabbini & Shah,Pittsburgh RS,Pittsburgh
4,Luckett & Taylor,Wake Forest LT,Wake Forest
4,Mckenzie & Reza Husain,Wayne State MR,Wayne State
4,Clough & Larson,West Georgia CL,West Georgia
4,Forsyth & Keller,West Georgia FK,West Georgia
4,Hinecker & Phillips,Wichita State HP - ONLINE,Wichita State
3,Barsoumian & Laibe,Baylor BL,Baylor
3,Hudson & Darwish,Baylor DH,Baylor
3,Fleming & Tsan,CalBerkeley FT,CalBerkeley
3,Cai & Vazquez Torres,Dartmouth CV - ONLINE,Dartmouth
3,Datel & Parikh,Dartmouth DP - ONLINE,Dartmouth
3,Bellam & Wilson,Emory BW,Emory
3,Conry & Rupp,Emory CR,Emory
3,Doubledee & Satovsky,Emory DS,Emory
3,Kim & Shirts,Emory KS,Emory
3,Sims & Reed-Valizan,Emporia State SR - ONLINE,Emporia State
3,Kumar & Sayers,Georgetown KS,Georgetown
3,Murarka & Cowan,Georgetown MC,Georgetown
3,Brown & Conway,James Madison BC,James Madison
3,Posey & Wallenmeyer,Liberty WP,Liberty
3,Bennett & Koster,Michigan State BK - ONLINE,Michigan State
3,Johnson & Phoenix-Flood,Minnesota JP - ONLINE,Minnesota
3,Wilkinson & Woodall,Missouri State WW - ONLINE,Missouri State
3,Chuang & Pacconi,Northwestern CP,Northwestern
3,Stamenkovic Diez & Subingsubing,Northwestern SS,Northwestern
3,Riggs & Blackwell,Samford RB,Samford
3,Tarnowski & Gill,Samford TG,Samford
3,Gu & Blanton,Texas GB,Texas
3,Wendland & Williams,Central Oklahoma WW - ONLINE,Central Oklahoma
3,Harris & Soper,Kansas HS,Kansas
3,Park & Wilkus,Kansas PW,Kansas
3,Adam & Weinhardt,Kentucky AW,Kentucky
3,Dal Pra & Stockstill,Kentucky DS,Kentucky
3,McBlain & Williams,Kentucky MW,Kentucky
3,Gies & Mikelson,Michigan MG,Michigan
3,Shih & Ippagunta,Michigan SI,Michigan
3,Reese & Rahman,Rayeed Rahman,Southern California
3,Lassen & Powers,Wyoming LP,Wyoming
3,Mitchell & Swidecki,Wyoming MS - ONLINE,Wyoming
3,Bressler & Mojica,Wake Forest BM,Wake Forest
3,Babcock & Babcock,Wichita State BB - ONLINE,Wichita State
3,Smith & Wentling,Wichita State SW - ONLINE,Wichita State
2,McClinton & Nguyen,Baylor MN,Baylor
2,Cohn & Guizatoullina,Binghamton CG,Binghamton
2,Cheek & Hua,Boston College CH,Boston College
2,Wiessner & Delgado,Cal State Fullerton WD - ONLINE,Cal State Fullerton
2,Dawson & Wellman,Gonzaga DW - ONLINE,Gonzaga
2,Kundu & Li,Harvard/Tufts KL,Harvard
2,Hoham & Fish,Indiana HF,Indiana
2,Jasani & Penumetcha,Indiana JP,Indiana
2,Pelletier & Rinehart,James Madison PR,James Madison
2,Gusis & Miklovis,Michigan State GuMi - ONLINE,Michigan State
2,Lucas & Shew,Missouri State LS,Missouri State
2,Makinde & Saigal,NYU MS - ONLINE,NYU
2,Avery & Kim,Northwestern AK - ONLINE,Northwestern
2,Agbede & Rubin,Northwestern AR,Northwestern
2,Ye & Zimmerman,Northwestern YZ,Northwestern
2,Karsh & Toro,Oakton Community/Macalester KT,Oakton Community
2,Sullivan & Teague,Oklahoma ST,Oklahoma
2,Stinson & Tariko,Tufts ST,Tufts
2,Karchmer & Sendejas,UTD KS,UTD
2,Watson & Lasseter,UTD WL,UTD
2,Cryan & Fox,Houston CF,Houston
2,Goodrich & Traxler,Houston GT,Houston
2,Khan & Abad,Nine Abad,Houston
2,Alexis & Willson,Washington University in St. Louis/Wyoming AW,Washington University in St. Louis
2,Hummingbird & Molina Chavez,Wichita State HM - ONLINE,Wichita State
1,Alnasser & Lea,Cornell AL,Cornell
1,Jotsinghani & Seielstad,Cornell JS,Cornell
1,Moreno & Zabolio,Gonzaga MZ - ONLINE,Gonzaga
1,Floyd & Logan,Indiana FL,Indiana
1,Abdelhakiem & Granger,Missouri State AG,Missouri State
1,Butler & Lima Boudakian,New School BL,New School
1,Nakakura & Ziabkin,NYU NZ - ONLINE,NYU
1,Lopez & Channa,Southern California LC,Southern California
1,Howard & Trestrail,Wayne State HT,Wayne State
1,Crowley & Thompson,Western Washington CT,Western Washington
0,Albright & Burns,Missouri State AB,Missouri State
0,Kirsch & Patterson,Michigan/Trinity KP,Michigan
