Wins,Name,Code,School
6,Loew & Reed,Nick Loew,George Mason
5,Marin & Santora,Binghamton MS,Binghamton
5,T. Louis & Picallo,Eli T. Louis,Binghamton
4,Posey & Wallenmeyer,Liberty PW,Liberty
3,Cheek & Hua,Boston College CH,Boston College
3,Brown & Conway,James Madison BC,James Madison
3,Makinde & Saigal,NYU MS,NYU
3,Nakakura & Ziabkin,NYU NZ,NYU
2,Pelletier & Rinehart,James Madison PR,James Madison
1,Butler & Lima Boudakian,New School BL,New School
1,Layden & Modi,NYU LM,NYU
0,Choi & Santiago,Navy SC,Navy
