Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
1,Destiny,Hale,Wake Forest BH,Wake Forest,NC,116.6,58.2,174.6,3.17,175.39,2.84
2,Laurel,Pack,Samford PS,Samford,AL,116.4,58.2,174.7,2.83,175.19,16.14
3,Madison,Hackett,Samford HH,Samford,AL,116.4,58.1,174.7,3,174.78,53.97
4,Grace,Scott,Samford PS,Samford,AL,116.1,58,174.2,2.83,174.74,89.33
5,Mary,Hammond,Samford HH,Samford,AL,116,58,173.9,3,174,87.57
6,Shatavia,Bellmon,Wake Forest BH,Wake Forest,NC,115.8,58,173.4,3.17,173.74,82.67
7,Gabriel,Sanders,Liberty FS,Liberty,VA,115.7,57.7,173.8,3,173.93,24.58
8,Emmalee,Layton,Liberty BL,Liberty,VA,115.6,57.6,173.5,2.67,174.1,21.12
9,Patrick,Foos,Liberty FS,Liberty,VA,115.4,57.7,173.3,3,173.32,53.91
10,Andrew,Dudewicz,Michigan DW,Michigan,MI,115.3,57.8,172.6,3.33,173.21,22.44
11,Jessica,Tai,NYU KT,NYU,NY,115.3,57.7,172.8,3.33,172.83,31.55
12,Benjamin,Walter,Michigan DW,Michigan,MI,115.1,57.7,172.5,3.33,173.04,5.91
13,Reeya,Kansra,NYU KT,NYU,NY,115,57.5,172.8,3.33,173.02,74.17
14,Caroline,Berry,Liberty BL,Liberty,VA,115,57.4,172.7,2.67,173,56.69
15,Ellie,Shoemaker,Indiana/Liberty MS,Indiana,IN,114.7,57.4,172.3,3,172.24,33.36
16,Sai Vishnu Sri Hiranmayi,Midithuri,Indiana/Liberty MS,Indiana,IN,114.7,57.4,172.3,3,172.14,95.84
17,Isabel,Boncher,Michigan WB,Michigan,MI,114.5,57.3,171.8,2.83,172.19,16.71
18,Timur,Usenov,Minnesota UW,Minnesota,MN,114.1,57.1,170.9,2.83,170.57,59.37
19,Hannah,Winnick,Minnesota UW,Minnesota,MN,113.7,56.9,170.3,2.83,169.75,40.54
20,Meichi,Wu,Michigan WB,Michigan,MI,113.4,56.6,170.4,2.83,170.5,9.96
