Wins,Name,Code,School
6,Armstrong & Lathish,Houston AL,Houston
4,Badmus & Gorman,George Mason BG,George Mason
4,Chen & O'Connor,George Mason CO,George Mason
4,Daly & Taxali,George Mason DT,George Mason
4,Cunningham & Koenig,Liberty CK,Liberty
4,Hoegerl & Wineman,Liberty HW,Liberty
2,Halgren & Turner,Johnson County Community HT,Johnson County Community
1,Morales & Yeh,Cal State Fullerton YM,Cal State Fullerton
1,Silkes & Khatib,Indiana SK,Indiana
0,Catapang & Mubvakure,Cal State Fullerton CM,Cal State Fullerton
