Wins,Name,Code,School
6,Flores & Ortega,CSU Long Beach OF,CSU Long Beach
5,Zaidi & Zinober,Georgetown ZZ,Georgetown
5,Gusis & Miklovis,Michigan State GM,Michigan State
5,Deo & Chuang,Northwestern DC,Northwestern
5,Desai & Kashyap,Texas DK,Texas
5,Marshall & Park,Kansas MP,Kansas
5,Revare & Soper,Kansas RS,Kansas
5,Di & Griffith,Kentucky DG,Kentucky
4,Loew & Reed,George Mason LR,George Mason
4,White & Cowan,Georgetown CW,Georgetown
4,Price & Kochel,Macalester PK,Macalester
4,Koster & Lewis,Michigan State KL,Michigan State
4,Johnson & Phoenix-Flood,Minnesota JP,Minnesota
4,Khan & Traxler,Houston KT,Houston
4,Powers & Lassen,Wyoming LP,Wyoming
4,Bressler & Mojica,Wake Forest BM,Wake Forest
4,Mckenzie & Reza Husain,Wayne State MR,Wayne State
3,Lobo & Yang,Emory LY,Emory
3,Rupp & Shirts,Emory SR,Emory
3,Wallen & Pierce,Emory WP,Emory
3,Wright & Rodak,George Mason WR,George Mason
3,Renee & Dawson,Gonzaga RD,Gonzaga
3,Bennett & Montford,Michigan State BM,Michigan State
3,Scully & Shehzad,Michigan State SS,Michigan State
3,Prost & Wells,Minnesota PW,Minnesota
3,Haber-Fawcett & Fernando,Minnesota/Indiana HF,Minnesota
3,Harris & Barreto,Kansas HB,Kansas
3,McConnell & Willingham,Kansas MW,Kansas
3,Wilkus & Williams,Kansas WW,Kansas
3,Adam & McBlain,Kentucky AM,Kentucky
3,Gabay & Slish,Kentucky GS,Kentucky
3,Rimpson & Stockstill,Kentucky RS,Kentucky
3,Gies & Sanchez,Michigan GS,Michigan
3,Perez & Elliott,Wake Forest EP,Wake Forest
2,Ravikumar & Hwang,Emory/Michigan RH,Emory
2,Wellman & Roe,Gonzaga WR,Gonzaga
2,Gobezie & Turner,Liberty GT,Liberty
2,Horne & Shuttlesworth,Liberty SH,Liberty
2,Jarman & Scott,Michigan State JS,Michigan State
2,Campbell & Roy,Missouri State CR,Missouri State
2,Theiding & Jain,NYU TJ,NYU
2,Blackwell & Ford,Samford BF,Samford
2,Sendejas & D'Antuono,UTD DS,UTD
2,Shaw & Cline,Wake Forest CS,Wake Forest
2,wolfe & Shakarov,Wake Forest SW,Wake Forest
1,Cheek & Wachsmuth,Boston College CW,Boston College
1,Perez Rivas & Perez Rivas,Cal State Fullerton PP,Cal State Fullerton
1,Waghray & Feldman,Emory FW,Emory
1,Fish & Fish,Indiana FF,Indiana
1,gearring & Zi,Michigan State GZ,Michigan State
1,Cuello & Warnock,Georgia CW,Georgia
