Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
1,Jay-Z,Flores,CSU Long Beach OF,CSU Long Beach,CA,118.3,59.1,177.4,3.83,177.95,88.09
2,John,Marshall,Kansas MP,Kansas,KS,117.8,59,176.7,3.67,176.71,88.29
3,Het,Desai,Texas DK,Texas,TX,117.8,59,176.7,3.5,176.9,89.07
4,Arnav,Kashyap,Texas DK,Texas,TX,117.8,58.8,175.6,3.5,175.93,45.69
5,Curtis,Ortega,CSU Long Beach OF,CSU Long Beach,CA,117.5,58.7,176.2,3.83,176.57,57.98
6,Graham,Revare,Kansas RS,Kansas,KS,117.4,58.7,176.1,3.33,176.67,12.85
7,David,Griffith,Kentucky DG,Kentucky,KY,117.3,58.8,175.7,4,175.83,15.04
8,Kumail,Zaidi,Georgetown ZZ,Georgetown,DC,117.3,58.7,175.9,3.83,176.18,73.22
9,Sam,Price,Macalester PK,Macalester,MN,117.3,58.7,175.7,3.67,176.09,65.71
10,Will,Kochel,Macalester PK,Macalester,MN,117.3,58.7,175.7,3.67,175.77,21.46
11,Jiyoon,Park,Kansas MP,Kansas,KS,117.2,58.6,175.8,3.67,175.6,23.61
12,Connelly,Cowan,Georgetown CW,Georgetown,DC,117.2,58.6,175.6,3.33,175.84,76.23
13,Nick,Loew,George Mason LR,George Mason,VA,117.2,58.6,175.5,3.17,175.24,19.45
14,Jordan,Di,Kentucky DG,Kentucky,KY,117.1,58.6,175.5,4,175.51,20.07
15,William,Soper,Kansas RS,Kansas,KS,117.1,58.6,175.5,3.33,175.65,6.18
16,Kristopher,Wallen,Emory WP,Emory,GA,117.1,58.5,175.7,3.83,175.83,2.79
17,Joanna,Gusis,Michigan State GM,Michigan State,MI,117.1,58.4,175.7,2.83,175.34,3.02
18,Lauren,McBlain,Kentucky AM,Kentucky,KY,117,58.5,175.5,3.5,175.36,50.15
19,Alex,Mojica,Wake Forest BM,Wake Forest,NC,117,58.5,175.4,3.67,175.82,30.17
20,Tony,Miklovis,Michigan State GM,Michigan State,MI,116.9,58.5,175.5,2.83,175.22,0.99
21,Jared,Shirts,Emory SR,Emory,GA,116.9,58.5,175.1,3.5,174.99,71.24
22,Zachary,Zinober,Georgetown ZZ,Georgetown,DC,116.8,58.5,175.2,3.83,174.96,75.73
23,Coralynn,Yang,Emory LY,Emory,GA,116.8,58.5,175.1,3.17,175.05,75.31
24,Stephen,Lewis,Michigan State KL,Michigan State,MI,116.8,58.4,175.44,3.6,175.78,92.69
25,Jared,Adam,Kentucky AM,Kentucky,KY,116.8,58.4,175.4,3.5,175.21,34.13
26,Serena,Rupp,Emory SR,Emory,GA,116.8,58.4,175.3,3.5,175.42,99.38
27,Akash,Deo,Northwestern DC,Northwestern,IL,116.8,58.4,175.2,3.33,175.88,82.64
28,Noah,Reed,George Mason LR,George Mason,VA,116.6,58.4,174.5,3.17,174.15,35.18
29,Lorilei,Lassen,Wyoming LP,Wyoming,WY,116.6,58.3,174.9,4,175.08,92.45
30,Adam,White,Georgetown CW,Georgetown,DC,116.6,58.3,174.8,3.33,175.08,94.72
31,Lucas,Lobo,Emory LY,Emory,GA,116.6,58.2,175,3.17,175.05,59.08
32,Gene,Bressler,Wake Forest BM,Wake Forest,NC,116.5,58.3,174.9,3.67,175.09,51.83
33,Kiran,Khan,Houston KT,Houston,TX,116.5,58.2,174.8,3.33,174.47,60.64
34,Ec,Powers,Wyoming LP,Wyoming,WY,116.4,58.2,174.6,4,174.75,72.95
35,Nolan,Johnson,Minnesota JP,Minnesota,MN,116.4,58.2,174.5,3.17,174.84,73.92
36,Parker,Traxler,Houston KT,Houston,TX,116.3,58.2,174.2,3.33,173.97,1.26
37,Ariel,Gabay,Kentucky GS,Kentucky,KY,116.3,58.2,174.1,2.83,174.22,48.17
38,David,Koster,Michigan State KL,Michigan State,MI,116.27,58.2,174.96,3.6,175.16,91.22
39,Jeremiah,Rimpson,Kentucky RS,Kentucky,KY,116.2,58.1,174.8,2.83,173.75,45.64
40,Jacob,Wilkus,Kansas WW,Kansas,KS,116.2,58.1,174.3,3.17,174.19,94.37
41,Owen,Williams,Kansas WW,Kansas,KS,116.2,58.1,174.3,3.17,174.02,41.55
42,Donald,Pierce,Emory WP,Emory,GA,116.2,58,174.8,3.83,174.82,88.97
43,Tatianna,Mckenzie,Wayne State MR,Wayne State,MI,116.1,58.1,174.1,3.67,174.38,30.56
44,Max,Chuang,Northwestern DC,Northwestern,IL,116.1,58.1,174.1,3.33,174.63,72.56
45,Zach,Willingham,Kansas MW,Kansas,KS,116.1,58,174.3,3.33,174.91,76.97
46,Adrian,Sendejas,UTD DS,UTD,TX,116.1,58,174.3,3,174.12,79.19
47,Avalyn,Renee,Gonzaga RD,Gonzaga,WA,116.1,58,174.1,3.67,174.23,93.77
48,Owen,Phoenix-Flood,Minnesota JP,Minnesota,MN,116.1,57.9,174.4,3.17,174.55,36.95
49,Irshad,Reza Husain,Wayne State MR,Wayne State,MI,116,58.2,174,3.67,174.34,92.46
50,Liz,Elliott,Wake Forest EP,Wake Forest,NC,116,58.1,173.8,3.33,173.63,53.45
51,Thais (TC),Perez,Wake Forest EP,Wake Forest,NC,116,58,174,3.33,173.99,98.62
52,Ethan,Harris,Kansas HB,Kansas,KS,115.9,57.9,173.9,2.5,174.32,6.87
53,Alex,Barreto,Kansas HB,Kansas,KS,115.9,57.9,173.8,2.5,173.96,70.29
54,Kacee,Wells,Minnesota PW,Minnesota,MN,115.8,57.9,173.8,2.83,173.59,74.58
55,Sean,McConnell,Kansas MW,Kansas,KS,115.8,57.8,173.8,3.33,174.43,66.54
56,Blaine,Montford,Michigan State BM,Michigan State,MI,115.8,57.8,173.7,2.67,174.01,12.66
57,Hank,Sanchez,Michigan GS,Michigan,MI,115.73,57.8,173.28,2.83,173.12,14.91
58,Ashley,Wright,George Mason WR,George Mason,VA,115.7,57.8,173.6,2.33,173.12,85.81
59,Caleb,Prost,Minnesota PW,Minnesota,MN,115.7,57.8,173.4,2.83,172.98,18.52
60,Ephraim,Bennett,Michigan State BM,Michigan State,MI,115.6,57.8,173.5,2.67,173.64,21.91
61,Megan,Rodak,George Mason WR,George Mason,VA,115.6,57.8,173.4,2.33,172.85,57.46
62,Adhitya,Ravikumar,Emory/Michigan RH,Emory,GA,115.5,57.8,173.3,2.33,172.89,65.16
63,Mitchell,Scott,Michigan State JS,Michigan State,MI,115.5,57.8,173.1,3,172.81,60.02
64,Anna,Stockstill,Kentucky RS,Kentucky,KY,115.5,57.7,173.5,2.83,173.34,60.46
65,Lily,Gies,Michigan GS,Michigan,MI,115.47,57.8,173.16,2.83,172.92,6.36
66,Conor,Feldman,Emory FW,Emory,GA,115.4,57.8,173.2,2.33,172.52,56.12
67,hina,Shehzad,Michigan State SS,Michigan State,MI,115.4,57.7,173.4,4,173.39,37.48
68,Grace,Blackwell,Samford BF,Samford,AL,115.33,57.8,173.04,2.33,171.92,25.56
69,Gaege,Gobezie,Liberty GT,Liberty,VA,115.33,57.6,173.04,3,173.1,56.36
70,Ella,Ford,Samford BF,Samford,AL,115.33,57.6,172.92,2.33,172.11,17.67
71,Regan,Slish,Kentucky GS,Kentucky,KY,115.3,57.7,173,2.83,172.7,73.17
72,Calvin,Hwang,Emory/Michigan RH,Emory,GA,115.3,57.7,172.9,2.33,172.4,96.77
73,Glen,Scully,Michigan State SS,Michigan State,MI,115.3,57.6,173.2,4,173.06,30.76
74,Nicholas,Dawson,Gonzaga RD,Gonzaga,WA,115.3,57.6,172.9,3.67,172.64,79.98
