Wins,Name,Code,School
5,Revare & Soper,Kansas RS,Kansas
4,Zaidi & Zinober,Georgetown ZZ,Georgetown
3,Mitchell & Piekut,Emory MP,Emory
3,Pierce & Wallen,Emory WP,Emory
3,Marshall & Park,Kansas MP,Kansas
2,Loew & Reed,George Mason LR,George Mason
2,Cowan & White,Georgetown WC,Georgetown
2,Johnson & Phoenix-Flood,Minnesota JP,Minnesota
2,Dua & Luckett,Wake Forest DL,Wake Forest
2,Cho & Puerto,Wake Forest PC,Wake Forest
1,Choudhury & T. Louis,Binghamton TC,Binghamton
1,Lassen & Powers,Wyoming LP,Wyoming
