Wins,Name,Code,School
6,Jefferson & Sanders,Libert SJ,Liberty
5,Barratt & Kohlenberger,Cornel BK,Cornell
5,Foos & Heath,Libert FH,Liberty
4,Connors & Faurot,Bingha CF,Binghamton
4,Shen-Costello & Sekuler,Bingha SS,Binghamton
4,Hanchett & Thacker,Cornel TH,Cornell
4,Sung & Zhuo,Cornel ZS,Cornell
4,Cunningham & Muleta,Libert MC,Liberty
4,Hoegerl & Whitehurst,Libert WH,Liberty
4,Collins & Peffers,UniSta CP,United States Military
3,Cui & Linn,Bingha LC,Binghamton
3,Ahmad & Bernard,Cornel AB,Cornell
3,Colbert & Koenig,Libert CK,Liberty
3,Swaine & Nott,Suffol SN,Suffolk
3,Chyzh & Yushchenko,Roches YC,Rochester
2,Ashinoff & Panchookian,Bingha AP,Binghamton
2,Chauviere & Marino,Cornel CM,Cornell
2,Cramer & Wineman,Libert CW,Liberty
2,Martin & Wilder,UniSta MW,United States Military
2,Tao & Rahman,Roches TR,Rochester
1,Fong & Lazaro,Bingha FL,Binghamton
1,Karam & Herman,Bingha KH,Binghamton
1,aldebot ho & Ge,Suffol AG,Suffolk
0,Saint & Kitchens,Bingha SK,Binghamton
