Wins,Name,Code,School
5,Guansing & Yeh,Cal State Fullerton GY,Cal State Fullerton
5,Van Buren & Bailey,Northern Iowa VB,Northern Iowa
4,Gutierrez & Pagnan,Southwestern GP,Southwestern
4,Sanchez & Soto,Southwestern SS,Southwestern
3,canas & Morales,Cal State Fullerton MC,Cal State Fullerton
3,Tatel & Sunilkumar,Virginia TS,Virginia
2,Cheng & Wu,NYU CW,NYU
1,Alvarez & Rivas,Missouri Valley AR,Missouri Valley
1,Diaz-Medina & Cheek,Southwestern CD,Southwestern
0,dahdoul & Gandara-Gomez,Cal State Fullerton GD,Cal State Fullerton
