Wins,Name,Code,School
8,Lawless & Wang,Georgetown LW - ONLINE,Georgetown
7,Ortega & Flores,CSU Long Beach FO,CSU Long Beach
7,Gallagher & Hecht,Emory HG - ONLINE,Emory
7,Desai & Kashyap,Texas DK,Texas
6,Kessler & Rajagopal,Emory KR,Emory
6,Mitchell & Piekut,Emory MP,Emory
6,Ogbogu & Gines,Harvard OG,Harvard
6,Park & Marshall,Kansas MP,Kansas
6,Revare & Soper,Kansas RS,Kansas
6,Luckett & Robinson,Wake Forest RL,Wake Forest
5,Cai & Bald,Dartmouth BC,Dartmouth
5,Cai & El-Sharif,Dartmouth/Pennsylvania CE,Dartmouth
5,Pierce & Wallen,Emory WP - ONLINE,Emory
5,Sayers & Raman,Georgetown SR,Georgetown
5,Cowan & White,Georgetown WC,Georgetown
5,Gusis & Miklovis,Michigan State MG,Michigan State
5,Chuang & Deo,Northwestern DC,Northwestern
5,Fleming & Tsan,UC Berkeley FT,UC Berkeley
5,Urfalian & Sen,UC Berkeley US,UC Berkeley
5,Di & Griffith,Kentucky GD - ONLINE,Kentucky
5,Adam & McBlain,Kentucky MA - ONLINE,Kentucky
5,Reese & Rahman,Southern California RR,Southern California
5,Dua & Smith,Wake Forest DS,Wake Forest
5,Cho & Puerto,Wake Forest PC,Wake Forest
4,Chang-Deutsch & Ben-Abdallah,Dartmouth CB,Dartmouth
4,Vazquez Torres & Wallace,Dartmouth VW,Dartmouth
4,Kim & Lobo,Emory LK - ONLINE,Emory
4,Northrop & Kochel,Macalester KN,Macalester
4,Bennett & Montford,Michigan State BM,Michigan State
4,Koster & Lewis,Michigan State KL,Michigan State
4,Johnson & Phoenix-Flood,Minnesota JP - ONLINE,Minnesota
4,Makinde & Saigal,NYU MS,NYU
4,Agbede & Rubin,Northwestern AR,Northwestern
4,Souchet & Stamenkovic Diez,Northwestern SS,Northwestern
4,Karchmer & Penumetcha,UTD KP - ONLINE,UTD
4,Menotti & Reichel,UC Berkeley MR,UC Berkeley
4,Stockstill & Rimpson,Kentucky SR - ONLINE,Kentucky
4,Gies & Sanchez,Michigan GS,Michigan
4,Gao & Shih,Michigan SG,Michigan
4,Bressler & Mojica,Wake Forest BM,Wake Forest
3,Baugher & Niblett,Dartmouth NB,Dartmouth
3,Matzen & Smith,James Madison SM,James Madison
3,Price & Williams,Macalester PW,Macalester
3,Scully & Shehzad,Michigan State SS,Michigan State
3,Arney & Ramesh,Northwestern ArRa,Northwestern
3,Shaikh & Mijares,UC Davis SM,UC Davis
3,D'Antuono & Sharma,UTD/Utah DS - ONLINE,UTD
3,Marquez & Zhou,UC Berkeley MZ,UC Berkeley
3,Anderson McElligott & Cavanaugh,Iowa CA,Iowa
3,Gabay & Bisevac,Kentucky GB - ONLINE,Kentucky
3,Peters & Valame,"Massachusetts, Amherst/Northeastern PV","Massachusetts, Amherst"
3,Griffin & Channa,Southern California CG,Southern California
3,Medina & Powers,Wyoming MP - ONLINE,Wyoming
3,Swidecki & Willson,Wyoming SW - ONLINE,Wyoming
2,Mishra & Oehler,James Madison MO,James Madison
2,Prost & Wells,Minnesota PW - ONLINE,Minnesota
2,Modi & Toth,NYU TM,NYU
2,Berhe & Mukherjee,"Massachusetts, Amherst MB","Massachusetts, Amherst"
2,Bradley & Jack,Southern California JB,Southern California
1,Delgado & Vasquez,Cal State Fullerton DV,Cal State Fullerton
1,Khan & Mirza,Southern California KM,Southern California
0,Castillo & Rueda,Southern California CR,Southern California
0,Lopez & Evi,Southern California LE,Southern California
