Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
1,Laurel,Pack,Samford HP,Samford,AL,57.8,0,115.87,116.28,1.6,19.81
2,Mary,Hammond,Samford HP,Samford,AL,57.8,0,115.07,114.8,1.6,50.32
3,Emmalee,Layton,Liberty BL,Liberty,VA,57.7,0,115.3,116.16,1.8,9.07
4,Autumn,O'Connor,George Mason HO,George Mason,VA,57.6,0,114.93,85.86,2.5,60.54
5,Caroline,Berry,Liberty BL,Liberty,VA,57.5,0,114.9,115.38,1.8,61.93
6,Lauren,Hobson,George Mason HO,George Mason,VA,57.4,0,114.93,85.83,2.5,53.41
7,Dean,Richter,George Mason RG,George Mason,VA,57.4,0,114.9,115.34,2.6,95.43
8,James,Turner,Liberty TS,Liberty,VA,57.4,0,114.8,115.41,2,4.69
9,Del,Gorman,George Mason RG,George Mason,VA,57.4,0,114.7,114.93,2.6,90.03
10,Lucas,Tiffany,James Madison PT,James Madison,VA,57.4,0,113.9,113.72,1.5,34.39
11,Reet,Taxali,George Mason PT,George Mason,VA,57.2,0,114.1,114.32,2.5,54.38
12,Ellie,Shoemaker,Liberty TS,Liberty,VA,57.2,0,114.1,114.13,2,14.03
13,Alavi,Shihab,George Mason SB,George Mason,VA,57.1,0,114.2,113.96,2.5,24.57
14,Hailey,Patel,George Mason PT,George Mason,VA,57,0,114.1,114.55,2.5,38.41
15,Maria,Pinto,James Madison PT,James Madison,VA,57,0,113.3,112.79,1.5,82.78
16,Oluwatomisin,Badmus,George Mason SB,George Mason,VA,56.8,0,113.7,113.22,2.5,42.6
