Wins,Name,Code,School
5,Barratt & Diop,Cornell BD,Cornell
5,Ludka & Wong,Suffolk LW,Suffolk
5,Ozcayir & Rahman,Rochester OR,Rochester
4,Cui & Linn,Binghamton CL,Binghamton
4,Casella & Thacker,Cornell CT,Cornell
4,Dye & Kim,Cornell DK,Cornell
4,Sung & Zhuo,Cornell SZ,Cornell
4,Belloso & Marsh,Monmouth BM,Monmouth
4,Mckenna & Wilder,United States Military MW,United States Military
3,Fenton & Qureshi,Monmouth FQ,Monmouth
3,Goodfriend & Sheehan,Monmouth GS,Monmouth
3,Akinropo & Hemming,United States Military AH,United States Military
3,Ali & Vozniak,Rochester AV,Rochester
3,Fu & Diouf,Rochester FD,Rochester
3,Pirzada & Feyes,Rochester/Kansas State PF,Rochester
3,Fritts & Ferrell,West Virginia FF,West Virginia
2,Carbone & Makfinsky,Monmouth CM,Monmouth
2,Gawelko & Gold,Monmouth GG,Monmouth
2,Blank & Ge,Suffolk BG,Suffolk
2,Kim & Shelat,United States Military KS,United States Military
2,Martin & Kang,United States Military MK,United States Military
1,Jennison & Quiroz,Monmouth JQ,Monmouth
1,Santiago & Orange,Monmouth SO,Monmouth
