Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,Z2,Rand -1HL
1,Megan,Rodak,George Mason SR,George Mason,VA,115.7,57.8,173,174.14,11.47
2,Hanna,Shakarov,Wake Forest SN,Wake Forest,NC,115.5,57.8,173.3,174.47,95.07
3,Dean,Richter,George Mason RP,George Mason,VA,115.4,57.8,172.9,173.38,0.99
4,Berkley,Smith,James Madison SM,James Madison,VA,115.4,57.6,173.3,173.41,4.36
5,Maggie,Matzen,James Madison SM,James Madison,VA,115.3,57.7,173.1,173.1,63.17
6,Nathan,Stolzenfeld,George Mason SR,George Mason,VA,115.3,57.7,172.8,173.92,50.87
7,Kaleb,Horne,Liberty HS,Liberty,VA,115.1,57.5,172.7,173.77,81.99
8,Alyssa,Shuttlesworth,Liberty HS,Liberty,VA,115.1,57.5,172.6,173.41,67.36
9,Destiny,Hale,Wake Forest BH,Wake Forest,NC,114.93,57.6,172.68,172.36,9.98
10,Dylan,Bridges,Liberty BJ,Liberty,VA,114.8,57.4,172.8,171.97,41.08
11,Hailey,Patel,George Mason RP,George Mason,VA,114.8,57.3,172.3,172.37,99.14
12,Diane,Jensen,Liberty BJ,Liberty,VA,114.67,57.6,172.08,170.46,90.61
13,Brenda,Reyes,George Mason RS,George Mason,VA,114.5,57.1,171.9,172.46,94.22
14,Shatavia,Bellmon,Wake Forest BH,Wake Forest,NC,114.4,57.2,171.96,171.13,83.23
15,James,Turner,Liberty TG,Liberty,VA,114.4,57.2,171.72,171.62,91.33
16,James,Song,United States Military SS,United States Military,NY,114.4,57.2,171.7,171.75,58.62
17,Amira,Shananier,George Mason RS,George Mason,VA,114.3,57.1,171.6,171.75,69.53
18,Amanda,Treulich,Binghamton TK,Binghamton,NY,114.13,57,171.12,170.6,19.27
19,Gaege,Gobezie,Liberty TG,Liberty,VA,114,57,171.36,171.12,53.25
20,Alavi,Shihab,George Mason SH,George Mason,VA,114,56.9,171.4,171.79,24.66
21,Kimberly,Nguyen,Wake Forest SN,Wake Forest,NC,113.9,57.1,170.8,171.34,54.19
22,Ashley,King,Binghamton TK,Binghamton,NY,113.87,56.8,171.12,170.8,61.29
23,Eric,Mathemeier,Liberty SM,Liberty,VA,113.73,57,170.4,170.67,14.69
24,Lauren,Hobson,George Mason SH,George Mason,VA,113.7,56.8,171,171.02,79.36
25,Randy,Story,United States Military SS,United States Military,NY,113.7,56.8,170.4,169.91,52.46
26,Emmalee,Layton,Liberty BL,Liberty,VA,113.6,57,170.5,170.81,93.46
27,Caroline,Berry,Liberty BL,Liberty,VA,113.5,56.9,170.3,170.52,2.69
28,Ellie,Shoemaker,Liberty SM,Liberty,VA,113.47,56.6,170.4,170.57,69.86
29,Ila-Mae,Hoang,Liberty MH,Liberty,VA,113.2,56.6,169.92,168.69,44.35
30,Divinity,Munson,Liberty MH,Liberty,VA,112.53,56.2,169.32,168.05,0.69
