Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,Z2,Rand -1HL
1,Gabriel,Sanders,Liberty SJ,Liberty,VA,86.9,29.3,144.6,144.42,7.85
2,Andrew,Muleta,Liberty MC,Liberty,VA,86.9,28.9,144.7,145,32.34
3,Jayden,Cunningham,Liberty MC,Liberty,VA,86.8,29,144.9,145.02,98.83
4,Ashley,Tong,United States Military TM,United States Military,NY,86.5,28.8,143.5,143.46,3.84
5,Meena,Komarraju,Linna,George Mason,VA,86.4,28.9,143.1,143.74,42.91
6,Leon,Lopez,Leon Lopez,James Madison,VA,86.4,28.7,143.6,143.54,29.63
7,Aryan,Patel,George Mason PD,George Mason,VA,86.4,0,143.5,114.75,4.98
8,Autumn,O'Connor,George Mason DO,George Mason,VA,86.3,28.8,143.8,143.13,64.48
9,Patrick,Foos,Liberty FH,Liberty,VA,86.3,28.7,143.3,143.54,4.26
10,Misa,Mckenna,United States Military TM,United States Military,NY,86.2,28.7,143.3,143.16,76.62
11,Lucas,Tiffany,Leon Lopez,James Madison,VA,86.2,28.7,143,142.34,71.94
12,Greeshmita,Dasari,George Mason PD,George Mason,VA,86.1,0,143.63,144.57,48.13
13,Lily,Hutchison,Liberty HC,Liberty,VA,86,28.7,143.1,142.71,58.15
14,Brielle,Jefferson,Liberty SJ,Liberty,VA,86,28.6,143,142.38,66.04
15,Olivia,Colbert,Liberty HC,Liberty,VA,85.9,28.7,143,142.67,89.27
16,Nay,Linn,Binghamton LC,Binghamton,NY,85.8,0,142.5,142.59,50.33
17,Emily,Daly,George Mason DO,George Mason,VA,85.7,28.5,143.2,142.23,6.25
18,Aiden,Peffers,United States Military PP,United States Military,NY,85.7,28.5,142.8,142.76,89.23
19,Irene,Cui,Binghamton LC,Binghamton,NY,85.65,0,143,143.02,33.52
20,Oluwatomisin,Badmus,George Mason BF,George Mason,VA,85.65,0,143,142.36,20.84
21,Brock,Peyton,United States Military PP,United States Military,NY,85.6,28.5,142.7,142.55,44.26
22,Risha,Gupta,George Mason GH,George Mason,VA,85.5,0,142.5,141.9,9.18
23,Henry,Wilder,United States Military KW,United States Military,NY,85.4,28.5,142.4,141.84,20.35
24,David,Heath,Liberty FH,Liberty,VA,85.4,28.5,142.2,142.12,85.68
25,Ghazal,Habib,George Mason GH,George Mason,VA,85.35,0,142.38,141.6,87.36
26,Gene,Kang,United States Military KW,United States Military,NY,85.3,28.4,142.3,141.42,91.24
27,Hailey,Faurot,Binghamton CF,Binghamton,NY,85.2,28.5,142.5,142.31,7.83
28,Weston,Coleman,Binghamton VC,Binghamton,NY,85.2,28.5,142,142.26,55.23
29,Abigail,Connors,Binghamton CF,Binghamton,NY,85.2,28.3,142.9,143.12,56.05
30,Linna,Deng,Linna,George Mason,VA,85.2,0,142.33,85.22,39.98
31,Xavier,Flores,George Mason BF,George Mason,VA,85.05,0,142.25,141.47,69.58
32,Vanessa,Veretelnikov,Binghamton VC,Binghamton,NY,85,28.4,141.4,141.42,3.62
33,Ethan,Collins,United States Military CC,United States Military,NY,85,28.2,142.6,142.76,3.96
34,Giavanna,Kardos,James Madison GK,James Madison,VA,84.9,28.3,141,140.8,19.16
35,Jackson,Whitehurst,Liberty WhHo,Liberty,VA,84.9,0,142.25,142.29,47.02
36,A'Llayniah,Titre,George Mason GT,George Mason,VA,84.9,0,140.63,140.61,62.79
37,Matt,Gowel,James Madison GK,James Madison,VA,84.8,28.2,141,141.19,63.02
38,James,Conway,United States Military CC,United States Military,NY,84.7,28.2,141.9,141.85,58.65
39,John,Hoegerl,Liberty WhHo,Liberty,VA,84.45,0,141.88,141.51,17.24
40,Juliana,Gabrielson,George Mason CG,George Mason,VA,84.1,28,140.5,141.44,52.91
41,Del,Gorman,George Mason GT,George Mason,VA,84,0,139.63,138.89,41.57
42,Sonia,Chen,George Mason CG,George Mason,VA,83.8,27.9,140,140.6,63.07
43,Nova,Koenig,Liberty KC,Liberty,VA,84.75,0,141.38,112.92,59.48
44,Guillermo,Fajardo,George Mason FW,George Mason,VA,83.7,0,140,111.8,89.03
45,Nagendra Shivasai,Kanneboina,George Mason FW,George Mason,VA,83.4,0,139.83,111.82,99.81
46,Violet,Cramer,Liberty KC,Liberty,VA,0,0,141.25,56.73,90.25
