Wins,Ballots,Name,Code,School
6,6,Layden & Ziabkin,NYU LZ,NYU
6,6,Modi & Toth,NYU MT,NYU
5,4,Hamilton & Horne,Liberty HH,Liberty
5,4,Shuttlesworth & Gobezie,Liberty SG,Liberty
4,4,Salah & Woodring,Suffolk WS,Suffolk
4,4,Shaikh & Mijares,UC Davis SM,UC Davis
3,3,Cheek & Hua,Boston College CH,Boston College
3,3,Song & Story,United States Military SS,United States Military
2,3,Layton & Turner,Liberty TL,Liberty
2,1,Opron & Shatilenko,United States Military OS,United States Military
1,1,Kpade & Chaturvedi,New School KC,New School
1,0,Ozcayir & Rahman,Rochester OR,Rochester
1,0,Emrich & Terada,Rochester/New School ET,Rochester
