Wins,Name,Code,School
5,Layton & Berry,Liberty BL - ONLINE,Liberty
5,Gobezie & Turner,Liberty TG - ONLINE,Liberty
4,Daniels & Northrop,Macalester DN - ONLINE,Macalester
4,Chew & Pack,Samford CP - ONLINE,Samford
3,Reyes & Hobson,George Mason HR - ONLINE,George Mason
3,Patel & Richter,George Mason RP - ONLINE,George Mason
3,Fernando & Fish,Indiana FF - ONLINE,Indiana
3,Benson & Haber-Fawcett,Benjy Haber-Fawcett,Minnesota
3,Hackett & Hammond,Samford HH - ONLINE,Samford
2,Midithuri & Vidali,Indiana VM - ONLINE,Indiana
1,Mathemeier & Shoemaker,Liberty SM - ONLINE,Liberty
