Wins,Name,Code,School
6,Foos & Sanders,Liberty FS - ONLINE,Liberty
6,Hoegerl & Koenig,Liberty KH - ONLINE,Liberty
4,Daly & O'Connor,George Mason OD - ONLINE,George Mason
4,Cramer & Wineman,Liberty CW - ONLINE,Liberty
4,Satterfield & Schmidt,Navy SS - ONLINE,Navy
3,Habib & Kanneboina,George Mason HK - ONLINE,George Mason
3,Patel & Badmus,George Mason PB - ONLINE,George Mason
3,Celletti & Zeynalov,Gonzaga CZ - ONLINE,Gonzaga
3,Khatib & Silkes,Indiana KS - ONLINE,Indiana
3,Cunningham & Muleta,Liberty MC - ONLINE,Liberty
3,kadiyala & Border,Northern Iowa KB - ONLINE,Northern Iowa
3,Fuentes & Habig,Samford HF - ONLINE,Samford
2,DiDomenico & Rubio,Boston College DR - ONLINE,Boston College
2,Fajardo & Titre,George Mason FT - ONLINE,George Mason
2,Lawrence & Welch,Navy LW - ONLINE,Navy
2,Meh & Britts,Northern Iowa BM - ONLINE,Northern Iowa
1,Hewlett & Kluttz,Houston KH - ONLINE,Houston
