Wins,Name,Code,School
6,Hudson & Darwish,Baylor Hudson & Darwish,Baylor
6,McBlain & Adam,Kentucky McBlain & Adam,Kentucky
5,Price & Kochel,Macalester Price & Kochel,Macalester
5,Chuang & Deo,Northwestern Deo & Chuang,Northwestern
5,Anderson McElligott & Cavanaugh,Iowa Cavanaugh & Anderson McElligott,Iowa
5,Wilkus & Williams,Kansas Wilkus & Williams,Kansas
5,Gao & Shih,Michigan Shih & Gao,Michigan
4,Renee & Dawson,Gonzaga Renee & Dawson,Gonzaga
4,Agbede & Rubin,Northwestern Agbede & Rubin,Northwestern
4,Riggs & Tarnowski,Samford Tarnowski & Riggs,Samford
4,Lasseter & Mubarak,UTD Lasseter & Mubarak,UTD
4,Sendejas & Karthik,UTD Sendejas & Karthik,UTD
4,Ippagunta & Vale,Georgia Vale & Ippagunta,Georgia
4,Pham & Logback,Kansas Pham & Logback,Kansas
4,Schultz & Suleman,Kansas Schultz & Suleman,Kansas
4,Vu & Larson,Kansas Vu & Larson,Kansas
4,Gabay & Slish,Kentucky Gabay & Slish,Kentucky
4,Stockstill & Rimpson,Kentucky Stockstill & Rimpson,Kentucky
4,Campbell & Willson,Wyoming Campbell & Willson,Wyoming
3,Wellman & Roe,Gonzaga Wellman & Roe,Gonzaga
3,Turner & Robertson,Kansas State Turner & Robertson,Kansas State
3,Jarman & Scott,Michigan State Scott & Jarman,Michigan State
3,Scully & Shehzad,Michigan State Scully & Shehzad,Michigan State
3,Wells & Haber-Fawcett,Minnesota Wells & Haber-Fawcett,Minnesota
3,Neal & Wilkinson,Missouri State Wilkinson & Neal,Missouri State
3,Kim & Wu,Northwestern Kim & Wu,Northwestern
3,Sullivan & Yarborough,Oklahoma Sullivan & Yarborough,Oklahoma
3,Scott & Sanchez,Samford/Samford Scott & Sanchez,Samford
3,Harris & Spiers,Kansas Harris & Spiers,Kansas
2,Fish & Fish,Indiana Fish & Fish,Indiana
2,Sum & Sand,Kansas State Sum & Sand,Kansas State
2,Agrahara & Bitzan,Michigan State Agrahara & Bitzan,Michigan State
2,gearring & Zi,Michigan State gearring & Zi,Michigan State
2,Burns & Roy,Missouri State Burns & Roy,Missouri State
2,Rauhoff & Tooley,Missouri State Rauhoff & Tooley,Missouri State
2,Smith & story,Oklahoma Smith & story,Oklahoma
2,Blackwell & Ford,Samford Blackwell & Ford,Samford
2,Warnock & Cuello,Georgia Warnock & Cuello,Georgia
2,Kidd & Schnitzer,Houston Kidd & Schnitzer,Houston
2,Bilicki & Parfenoff,Iowa Bilicki & Parfenoff,Iowa
2,Huffman & Patel,Iowa Huffman & Patel,Iowa
1,Pertuit & Camp,Baylor Pertuit & Camp,Baylor
1,Sturgeon & LoCicero,Baylor Sturgeon & LoCicero,Baylor
1,Midithuri & Fernando,Indiana Midithuri & Fernando,Indiana
1,Dudewicz & Hwang,Michigan Dudewicz & Hwang,Michigan
0,StPeter & Missell,Joshua StPeter,Georgia State
0,Ella & Weimar,Iowa Ella & Weimar,Iowa
