Place,First,Last,Entry,School,State,Pts -1HL,Pts -2HL,Pts,OpW,Z2,Rand -1HL
1,Akash,Deo,Northwestern Deo & Chuang,Northwestern,IL,117.4,58.6,176.2,3.17,176.8,49.02
2,Ryan,Cavanaugh,Iowa Cavanaugh & Anderson McElligott,Iowa,IA,117.3,58.5,176.1,4,176.07,71.89
3,Conner,Shih,Michigan Shih & Gao,Michigan,MI,117.2,58.5,175.8,3.83,176.19,39.33
4,Omar,Darwish,Baylor Hudson & Darwish,Baylor,TX,117.1,58.5,175.2,3.67,175.3,30.14
5,Jacob,Wilkus,Kansas Wilkus & Williams,Kansas,KS,117.07,58.6,175.68,3.8,176.09,31.34
6,Sam,Price,Macalester Price & Kochel,Macalester,MN,116.9,58.6,175.2,4,175.87,75.79
7,Lawson,Hudson,Baylor Hudson & Darwish,Baylor,TX,116.9,58.5,175.1,3.67,175.26,64.22
8,Avalyn,Renee,Gonzaga Renee & Dawson,Gonzaga,WA,116.9,58.4,175.4,3.17,176.1,26.72
9,Owen,Williams,Kansas Wilkus & Williams,Kansas,KS,116.8,58.4,175.08,3.8,174.97,69.97
10,Jared,Adam,Kentucky McBlain & Adam,Kentucky,KY,116.7,58.4,175.2,4,175.65,11.57
11,Spencer,Anderson McElligott,Iowa Cavanaugh & Anderson McElligott,Iowa,IA,116.7,58.3,175.1,4,174.7,51.82
12,Will,Kochel,Macalester Price & Kochel,Macalester,MN,116.7,58.3,175,4,175.65,86.99
13,Jared,Spiers,Kansas Harris & Spiers,Kansas,KS,116.6,58.3,175,3.33,175.43,29.85
14,Lauren,McBlain,Kentucky McBlain & Adam,Kentucky,KY,116.6,58.3,174.9,4,175.35,83.35
15,Natalie,Gao,Michigan Shih & Gao,Michigan,MI,116.6,58.2,175,3.83,175.26,46.85
16,Veronica,Rubin,Northwestern Agbede & Rubin,Northwestern,IL,116.5,58.3,174.7,3.33,175.43,0.19
17,Max,Chuang,Northwestern Deo & Chuang,Northwestern,IL,116.5,58.2,175.1,3.17,175.33,37.29
18,Ethan,Harris,Kansas Harris & Spiers,Kansas,KS,116.5,58.2,174.7,3.33,175.18,11.37
19,Ariel,Gabay,Kentucky Gabay & Slish,Kentucky,KY,116.4,58.1,174.5,3,174.47,54.54
20,Adrian,Sendejas,UTD Sendejas & Karthik,UTD,TX,116.27,58,174.6,4,174.92,14.74
