Wins,Name,Code,School
6,Barratt & Kohlenberger,Cornell BK,Cornell
5,Hanchett & Thacker,Cornell TH,Cornell
5,Collins & Conway,United States Military CC,United States Military
4,Ahmad & Dye,Cornell AD,Cornell
4,Boyle & Carbone,Monmouth CB,Monmouth
4,Kang & Wilder,United States Military KW,United States Military
4,Mckenna & Sottos,United States Military MS,United States Military
4,Peffers & Peyton,United States Military PP,United States Military
3,Bruno & Dadoun,Monmouth BD,Monmouth
3,Michel & Orange,Monmouth OM,Monmouth
3,Goodfriend & Sheehan,Monmouth SG,Monmouth
3,Wong & Woodring,Suffolk WW,Suffolk
2,Belloso & Bros,Monmouth BB,Monmouth
2,Bell & Suarez,Southern Nazarene/Houston BS,Southern Nazarene
2,aldebot ho & Nott,Suffolk AN,Suffolk
2,Erowele & Yousafzai,UT San Antonio YE,UT San Antonio
1,Gawelko & Gold,Monmouth GG,Monmouth
1,Tatman & Hyatt,Southern Nazarene TH,Southern Nazarene
1,Alonzo & Grantham,UT San Antonio GA,UT San Antonio
1,Tran & Llano,UT San Antonio TL,UT San Antonio
