Wins,Name,Code,School
5,Layton & Turner,Liberty LT,Liberty
5,Rea & Connor,Navy RC,Navy
5,Woodring & Salah,Suffolk SW,Suffolk
4,Davis & Stolzenfeld,George Mason DS,George Mason
4,Patel & Richter,George Mason PR,George Mason
4,Matzen & Smith,James Madison SM,James Madison
4,Gobezie & Shuttlesworth,Liberty GS,Liberty
4,Wang & Schnitzer,Houston WS,Houston
3,Wright & Rodak,George Mason WR,George Mason
3,Oehler & Shananier,James Madison/George Mason SO,James Madison
2,Lea & Lim,Cornell LL,Cornell
2,Edelstein & Yushchenko,Rochester EY,Rochester
1,King & Treulich,Binghamton TK,Binghamton
1,Uones & Ren,Binghamton UR,Binghamton
1,Shihab & Shoemaker,George Mason/Liberty SS,George Mason
0,Mann & Phillips,West Virginia MP,West Virginia
