Wins,Name,Code,School
6,Armstrong & Lathish,Houston AL,Houston
5,Barratt & Kohlenberger,Cornell BK,Cornell
5,Sung & Zhuo,Cornell SZ,Cornell
4,Ahmad & Dye,Cornell AD,Cornell
4,Casella & Thacker,Cornell CT,Cornell
4,Diop & Kim,Cornell DK,Cornell
4,Kardos & McConville,James Madison KM,James Madison
4,Pinto & Tiffany,James Madison PT,James Madison
4,Cunningham & Koenig,Liberty CK,Liberty
4,Foos & Sanders,Liberty FS,Liberty
4,Collins & Tong,United States Military CT,United States Military
4,Ozcayir & Rahman,Rochester OR,Rochester
3,Chen & Taxali,George Mason CT,George Mason
3,Kanneboina & Gorman,George Mason GK,George Mason
3,Hoegerl & Wineman,Liberty HW,Liberty
3,Lawrence & Agarwal,Navy LA,Navy
3,Sanchez & Pagnan,Southwestern SP,Southwestern
3,Wong & Ludka,Suffolk WL,Suffolk
3,Mckenna & Wilder,United States Military MW,United States Military
2,Linn & Cui,Binghamton LC,Binghamton
2,Gowel & Lopez,James Madison GL,James Madison
2,Boeckmann & Zarate,Johnson County Community BZ,Johnson County Community
2,Mudiay & Samworth,Towson MS,Towson
2,Kang & Peyton,United States Military KP,United States Military
2,Kim & Shelat,United States Military KS,United States Military
2,Hewlett & Suarez,Houston HS,Houston
1,Reese & Rivera,Southwestern RR,Southwestern
1,Gendall & Blank,Suffolk GB,Suffolk
1,Martin & Hemming,United States Military MH,United States Military
